Gene stable ID,Gene name
ENSMUSG00000051037,Zfp455
ENSMUSG00000049421,Zfp260
ENSMUSG00000047002,Msgn1
ENSMUSG00000027684,Mecom
ENSMUSG00000058331,Zfp85
ENSMUSG00000056493,Foxk1
ENSMUSG00000046792,Zfp787
ENSMUSG00000112781,Gm9046
ENSMUSG00000045591,Olig3
ENSMUSG00000068284,Usf3
ENSMUSG00000020473,Aebp1
ENSMUSG00000060257,Scrt2
ENSMUSG00000057101,Zfp180
ENSMUSG00000072672,Duxbl3
ENSMUSG00000014704,Hoxa2
ENSMUSG00000010505,Myt1
ENSMUSG00000008496,Pou2f2
ENSMUSG00000037235,Mxd4
ENSMUSG00000078995,Zfp456
ENSMUSG00000019817,Plagl1
ENSMUSG00000048502,Duxbl1
ENSMUSG00000050295,Foxc1
ENSMUSG00000038705,Gmeb2
ENSMUSG00000033726,Emx1
ENSMUSG00000021685,Otp
ENSMUSG00000003545,Fosb
ENSMUSG00000034968,Lbx2
ENSMUSG00000027434,Nkx2-2
ENSMUSG00000112027,Gm9045
ENSMUSG00000037174,Elf2
ENSMUSG00000030393,Zik1
ENSMUSG00000050397,Foxl2
ENSMUSG00000056216,Cebpg
ENSMUSG00000035011,Zbtb7a
ENSMUSG00000074862,BC025920
ENSMUSG00000005893,Nr2c2
ENSMUSG00000051390,Zbtb22
ENSMUSG00000022510,Trp63
ENSMUSG00000051490,Foxd4
ENSMUSG00000017491,Rarb
ENSMUSG00000045518,Onecut3
ENSMUSG00000097333,Zfp87
ENSMUSG00000027547,Sall4
ENSMUSG00000043290,Zfp784
ENSMUSG00000112919,Gm9049
ENSMUSG00000070034,Sp110
ENSMUSG00000048756,Foxo3
ENSMUSG00000027833,Shox2
ENSMUSG00000094870,Zfp131
ENSMUSG00000046311,Zfp62
ENSMUSG00000047036,Zfp445
ENSMUSG00000023927,Satb1
ENSMUSG00000040857,Erf
ENSMUSG00000094514,AC133103.3
ENSMUSG00000033080,Vsx1
ENSMUSG00000058665,En1
ENSMUSG00000092544,Gm20422
ENSMUSG00000049691,Nkx3-2
ENSMUSG00000034777,Vax2
ENSMUSG00000038418,Egr1
ENSMUSG00000044542,Prop1
ENSMUSG00000015605,Srf
ENSMUSG00000005917,Otx1
ENSMUSG00000020275,Rel
ENSMUSG00000070495,Ctcfl
ENSMUSG00000062713,Sim2
ENSMUSG00000074282,Zfp94
ENSMUSG00000055560,Zfp459
ENSMUSG00000109398,Gm3854
ENSMUSG00000006310,Zbtb32
ENSMUSG00000057894,Zfp329
ENSMUSG00000009097,Tbx1
ENSMUSG00000025959,Klf7
ENSMUSG00000047473,Zfp30
ENSMUSG00000046658,Zfp316
ENSMUSG00000001911,Nfix
ENSMUSG00000034800,Zfp661
ENSMUSG00000021540,Smad5
ENSMUSG00000020484,Xbp1
ENSMUSG00000079560,Hoxa3
ENSMUSG00000021217,Tshz3
ENSMUSG00000058638,Zfp110
ENSMUSG00000040732,Erg
ENSMUSG00000026222,Sp100
ENSMUSG00000025612,Bach1
ENSMUSG00000074220,Zfp382
ENSMUSG00000037640,Zfp60
ENSMUSG00000027583,Zbtb46
ENSMUSG00000042448,Hoxd1
ENSMUSG00000021743,Fezf2
ENSMUSG00000029832,Nfe2l3
ENSMUSG00000006642,Tcf23
ENSMUSG00000030001,Figla
ENSMUSG00000045515,Pou3f3
ENSMUSG00000015627,Gata5
ENSMUSG00000045519,Zfp560
ENSMUSG00000078768,Zfp566
ENSMUSG00000074472,Zfp872
ENSMUSG00000108367,Erfl
ENSMUSG00000046470,Sox18
ENSMUSG00000058402,Zfp420
ENSMUSG00000033961,Zfp446
ENSMUSG00000036721,Zscan12
ENSMUSG00000045991,Onecut2
ENSMUSG00000024220,Zfp523
ENSMUSG00000022952,Runx1
ENSMUSG00000040489,Sox30
ENSMUSG00000057093,Zfp607b
ENSMUSG00000044646,Zbtb7c
ENSMUSG00000020335,Zfp354b
ENSMUSG00000026976,Pax8
ENSMUSG00000054931,Zkscan4
ENSMUSG00000034998,Foxn2
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000053211,Zfy1
ENSMUSG00000057551,Zfp317
ENSMUSG00000000440,Pparg
ENSMUSG00000079681,Zglp1
ENSMUSG00000057895,Zfp105
ENSMUSG00000109129,Gm44973
ENSMUSG00000053985,Zfp14
ENSMUSG00000031627,Irf2
ENSMUSG00000048728,Zfp454
ENSMUSG00000022809,Nr1i2
ENSMUSG00000051413,Plagl2
ENSMUSG00000030443,Zfp583
ENSMUSG00000021318,Gli3
ENSMUSG00000047141,Zfp654
ENSMUSG00000025958,Creb1
ENSMUSG00000060510,Zfp266
ENSMUSG00000017950,Hnf4a
ENSMUSG00000027439,Gzf1
ENSMUSG00000000938,Hoxa10
ENSMUSG00000005583,Mef2c
ENSMUSG00000021779,Thrb
ENSMUSG00000042439,Zfp532
ENSMUSG00000091519,Skor2
ENSMUSG00000038402,Foxf2
ENSMUSG00000021775,Nr1d2
ENSMUSG00000022389,Tef
ENSMUSG00000078994,Zfp429
ENSMUSG00000022508,Bcl6
ENSMUSG00000094799,AC125149.4
ENSMUSG00000054160,Nkx2-4
ENSMUSG00000098905,Zfp953
ENSMUSG00000098905,Zfp953
ENSMUSG00000098905,Zfp953
ENSMUSG00000098905,Zfp953
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000030087,Klf15
ENSMUSG00000095250,AC133103.4
ENSMUSG00000020364,Zfp354a
ENSMUSG00000037001,Zfp39
ENSMUSG00000067942,Zfp160
ENSMUSG00000067942,Zfp160
ENSMUSG00000038415,Foxq1
ENSMUSG00000031965,Tbx20
ENSMUSG00000013419,Zfp651
ENSMUSG00000048450,Msx1
ENSMUSG00000067438,Hmx1
ENSMUSG00000042499,Hoxd11
ENSMUSG00000017007,Rbpjl
ENSMUSG00000022708,Zbtb20
ENSMUSG00000039087,Rreb1
ENSMUSG00000030380,Mzf1
ENSMUSG00000038227,Hoxa9
ENSMUSG00000038253,Hoxa5
ENSMUSG00000022641,Bbx
ENSMUSG00000071341,Egr4
ENSMUSG00000027967,Neurog2
ENSMUSG00000024206,Rfx2
ENSMUSG00000070709,Zfp974
ENSMUSG00000038805,Six3
ENSMUSG00000059839,Zfp874b
ENSMUSG00000004872,Pax3
ENSMUSG00000019982,Myb
ENSMUSG00000076431,Sox4
ENSMUSG00000011349,Dmrtc2
ENSMUSG00000021510,Zfp729a
ENSMUSG00000018143,Mafk
ENSMUSG00000023932,Cdc5l
ENSMUSG00000038932,Tcfl5
ENSMUSG00000002393,Nr2f6
ENSMUSG00000074283,Zfp109
ENSMUSG00000014039,Prdm15
ENSMUSG00000001819,Hoxd13
ENSMUSG00000059475,Zfp426
ENSMUSG00000079056,Kcnip3
ENSMUSG00000069184,Zfp72
ENSMUSG00000026135,Zfp142
ENSMUSG00000025323,Sp4
ENSMUSG00000001815,Evx2
ENSMUSG00000009741,Ubp1
ENSMUSG00000046185,Zfp84
ENSMUSG00000034333,Zbed4
ENSMUSG00000052675,Zfp112
ENSMUSG00000043456,Zfp536
ENSMUSG00000074139,1700057G04Rik
ENSMUSG00000018899,Irf1
ENSMUSG00000068079,Tcf15
ENSMUSG00000024134,Six2
ENSMUSG00000029587,Zfp12
ENSMUSG00000028163,Nfkb1
ENSMUSG00000048249,Crebrf
ENSMUSG00000063488,Zkscan7
ENSMUSG00000046982,Tshz1
ENSMUSG00000079808,AC168977.1
ENSMUSG00000027102,Hoxd8
ENSMUSG00000068327,Tlx2
ENSMUSG00000094483,Purb
ENSMUSG00000021506,Pitx1
ENSMUSG00000021366,Hivep1
ENSMUSG00000112216,Gm32717
ENSMUSG00000011267,Zfp296
ENSMUSG00000024431,Nr3c1
ENSMUSG00000054715,Zscan22
ENSMUSG00000035041,Creb3l3
ENSMUSG00000036972,Zic4
ENSMUSG00000096916,Zfp850
ENSMUSG00000045493,Bhlhe23
ENSMUSG00000050605,Zfp61
ENSMUSG00000049600,Zbtb45
ENSMUSG00000024563,Smad2
ENSMUSG00000029135,Fosl2
ENSMUSG00000035158,Mitf
ENSMUSG00000112814,Gm9040
ENSMUSG00000023990,Tfeb
ENSMUSG00000021469,Msx2
ENSMUSG00000020656,Grhl1
ENSMUSG00000026077,Npas2
ENSMUSG00000055874,Foxi3
ENSMUSG00000069206,Zfp874a
ENSMUSG00000029275,Gfi1
ENSMUSG00000071267,Zfp942
ENSMUSG00000055341,Zfp457
ENSMUSG00000055341,Zfp457
ENSMUSG00000057637,Prdm2
ENSMUSG00000028487,Bnc2
ENSMUSG00000049184,Purg
ENSMUSG00000029026,Trp73
ENSMUSG00000056854,Pou3f4
ENSMUSG00000078546,Zfp995
ENSMUSG00000034551,Hdx
ENSMUSG00000078503,Zfp990
ENSMUSG00000029563,Foxp2
ENSMUSG00000050954,Zfp169
ENSMUSG00000042414,Prdm14
ENSMUSG00000028423,Nfx1
ENSMUSG00000044186,Nkx2-6
ENSMUSG00000017688,Hnf4g
ENSMUSG00000032744,Heyl
ENSMUSG00000096433,Zfp994
ENSMUSG00000027552,E2f5
ENSMUSG00000063672,Nkx6-3
ENSMUSG00000025902,Sox17
ENSMUSG00000071477,Zfp777
ENSMUSG00000032998,Foxj3
ENSMUSG00000068551,Zfp467
ENSMUSG00000028807,Zbtb8a
ENSMUSG00000096225,Lhx8
ENSMUSG00000045179,Sox3
ENSMUSG00000100194,Tgif2lx2
ENSMUSG00000100194,Tgif2lx2
ENSMUSG00000048047,Zbtb33
ENSMUSG00000049878,Rlf
ENSMUSG00000042477,Tfap2e
ENSMUSG00000117284,Gm7072
ENSMUSG00000022346,Myc
ENSMUSG00000029705,Cux1
ENSMUSG00000028417,Tal2
ENSMUSG00000051490,Foxd4
ENSMUSG00000051490,Foxd4
ENSMUSG00000051490,Foxd4
ENSMUSG00000051490,Foxd4
ENSMUSG00000051490,Foxd4
ENSMUSG00000002996,Hbp1
ENSMUSG00000005373,Mlxipl
ENSMUSG00000029706,Pax4
ENSMUSG00000050197,Rhox13
ENSMUSG00000022061,Nkx3-1
ENSMUSG00000028946,Hes3
ENSMUSG00000059142,Zfp945
ENSMUSG00000040209,Zfp704
ENSMUSG00000050846,Zfp623
ENSMUSG00000046532,Ar
ENSMUSG00000070990,Foxe1
ENSMUSG00000028736,Pax7
ENSMUSG00000099032,Tcf24
ENSMUSG00000009406,Elk1
ENSMUSG00000028799,Zfp362
ENSMUSG00000086147,Zfp989
ENSMUSG00000071665,Foxr2
ENSMUSG00000047003,Zfp41
ENSMUSG00000069743,Zfp820
ENSMUSG00000050714,Zbtb26
ENSMUSG00000056749,Nfil3
ENSMUSG00000028610,Dmrtb1
ENSMUSG00000069114,Zbtb10
ENSMUSG00000029771,Irf5
ENSMUSG00000014603,Alx3
ENSMUSG00000078500,Zfp986
ENSMUSG00000101303,B020011L13Rik
ENSMUSG00000026890,Lhx6
ENSMUSG00000031162,Gata1
ENSMUSG00000022361,Zhx1
ENSMUSG00000065999,Zfp985
ENSMUSG00000041649,Klf8
ENSMUSG00000001566,Mnx1
ENSMUSG00000068966,Zbtb34
ENSMUSG00000098905,Zfp953
ENSMUSG00000098905,Zfp953
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000097565,Gm26965
ENSMUSG00000008575,Nfib
ENSMUSG00000042508,Dmtf1
ENSMUSG00000022335,Zfat
ENSMUSG00000028707,Dmbx1
ENSMUSG00000066000,Zfp979
ENSMUSG00000036192,Rorb
ENSMUSG00000038648,Creb3l2
ENSMUSG00000043753,Dmrta1
ENSMUSG00000059040,Eno1b
ENSMUSG00000071757,Zhx2
ENSMUSG00000042372,Dmrt3
ENSMUSG00000064141,Zfp69
ENSMUSG00000028565,Nfia
ENSMUSG00000015846,Rxra
ENSMUSG00000056829,Foxb2
ENSMUSG00000039521,Foxp3
ENSMUSG00000079509,Zfx
ENSMUSG00000079509,Zfx
ENSMUSG00000045268,Zfp691
ENSMUSG00000025255,Zfhx4
ENSMUSG00000021381,Barx1
ENSMUSG00000029553,Tfec
ENSMUSG00000058186,Zfp980
ENSMUSG00000036916,Zfp280c
ENSMUSG00000031241,Tbx22
ENSMUSG00000079466,Prdm12
ENSMUSG00000053347,Zfp943
ENSMUSG00000033972,Zfp944
ENSMUSG00000073209,Klf14
ENSMUSG00000006215,Zbtb17
ENSMUSG00000031374,Zfp92
ENSMUSG00000037017,Zscan21
ENSMUSG00000067860,Zic3
ENSMUSG00000070691,Runx3
ENSMUSG00000025529,Zfp711
ENSMUSG00000025821,Zfp282
ENSMUSG00000003032,Klf4
ENSMUSG00000039476,Prrx2
ENSMUSG00000039841,Zfp800
ENSMUSG00000039410,Prdm16
ENSMUSG00000060862,Zbtb40
ENSMUSG00000055210,Foxd2
ENSMUSG00000044149,Nkrf
ENSMUSG00000024837,Dmrt1
ENSMUSG00000026805,Barhl1
ENSMUSG00000026932,Nacc2
ENSMUSG00000078497,Zfp978
ENSMUSG00000048001,Hes5
ENSMUSG00000069036,Sry
ENSMUSG00000037214,Thap1
ENSMUSG00000058670,4932411N23Rik
ENSMUSG00000071266,Zfp946
ENSMUSG00000022330,Osr2
ENSMUSG00000048385,Scrt1
ENSMUSG00000066009,Zfp987
ENSMUSG00000048485,Zbtb8b
ENSMUSG00000063383,Zfp947
ENSMUSG00000034384,Barhl2
ENSMUSG00000028389,Zfp37
ENSMUSG00000033863,Klf9
ENSMUSG00000015942,Gtf2ird2
ENSMUSG00000015942,Gtf2ird2
ENSMUSG00000038718,Pbx3
ENSMUSG00000040929,Rfx3
ENSMUSG00000051351,Zfp46
ENSMUSG00000028341,Nr4a3
ENSMUSG00000031103,Elf4
ENSMUSG00000025128,Bhlhe22
ENSMUSG00000038630,Zkscan16
ENSMUSG00000028717,Tal1
ENSMUSG00000092416,Zfp141
ENSMUSG00000003282,Plag1
ENSMUSG00000078498,Zfp988
ENSMUSG00000033740,St18
ENSMUSG00000023443,Esx1
ENSMUSG00000067928,Zfp760
ENSMUSG00000022676,Snai2
ENSMUSG00000062519,Zfp398
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000000134,Tfe3
ENSMUSG00000028952,Zbtb48
ENSMUSG00000000247,Lhx2
ENSMUSG00000022053,Ebf2
ENSMUSG00000044934,Zfp367
ENSMUSG00000047591,Mafa
ENSMUSG00000048540,Nhlh2
ENSMUSG00000025592,Dach2
ENSMUSG00000048626,Klf17
ENSMUSG00000055991,Zkscan5
ENSMUSG00000027868,Tbx15
ENSMUSG00000026751,Nr5a1
ENSMUSG00000038765,Lmx1b
ENSMUSG00000028890,Mtf1
ENSMUSG00000049606,Zfp644
ENSMUSG00000034522,Zfp395
ENSMUSG00000067261,Foxd3
ENSMUSG00000029754,Dlx6
ENSMUSG00000038679,Trps1
ENSMUSG00000052271,Bhlha15
ENSMUSG00000052135,Foxo6
ENSMUSG00000060261,Gtf2i
ENSMUSG00000026788,Zbtb43
ENSMUSG00000014030,Pax5
ENSMUSG00000056300,Zfp981
ENSMUSG00000026815,Gfi1b
ENSMUSG00000090125,Pou3f1
ENSMUSG00000047143,Dmrta2
ENSMUSG00000059625,Sohlh1
ENSMUSG00000022526,Zfp251
ENSMUSG00000028582,Cc2d1b
ENSMUSG00000039634,Zfp189
ENSMUSG00000040289,Hey1
ENSMUSG00000029755,Dlx5
ENSMUSG00000018983,E2f2
ENSMUSG00000058440,Nrf1
ENSMUSG00000028654,Mycl
ENSMUSG00000067919,Rex2
ENSMUSG00000029736,Nobox
ENSMUSG00000044518,Foxe3
ENSMUSG00000026934,Lhx3
ENSMUSG00000049657,Zbtb5
ENSMUSG00000037188,Grhl3
ENSMUSG00000029050,Ski
ENSMUSG00000037465,Klf10
ENSMUSG00000070902,Zfp352
ENSMUSG00000029697,Fezf1
ENSMUSG00000067916,Zfp991
ENSMUSG00000042063,Zfp386
ENSMUSG00000028634,Hivep3
ENSMUSG00000063060,Sox7
ENSMUSG00000028901,Gmeb1
ENSMUSG00000021944,Gata4
ENSMUSG00000054737,Zfp182
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000114923,Gm49345
ENSMUSG00000114923,Gm49345
ENSMUSG00000050064,Zfp697
ENSMUSG00000032897,Nfyc
ENSMUSG00000052942,Glis3
ENSMUSG00000022556,Hsf1
ENSMUSG00000030469,Zfp719
ENSMUSG00000054967,Zfp647
ENSMUSG00000029729,Zkscan1
ENSMUSG00000025912,Mybl1
ENSMUSG00000066798,Zbtb6
ENSMUSG00000029627,Zkscan14
ENSMUSG00000048280,Zfp738
ENSMUSG00000048280,Zfp738
ENSMUSG00000071637,Cebpd
ENSMUSG00000022286,Grhl2
ENSMUSG00000045699,Gm21411
ENSMUSG00000033669,Zfp7
ENSMUSG00000039095,En2
ENSMUSG00000028466,Creb3
ENSMUSG00000028358,Zfp618
ENSMUSG00000034762,Glis1
ENSMUSG00000070605,Zfp992
ENSMUSG00000025930,Msc
ENSMUSG00000067724,Gbx1
ENSMUSG00000035277,Arx
ENSMUSG00000048138,Dmrt2
ENSMUSG00000033730,Egr3
ENSMUSG00000045336,Hsfy2
ENSMUSG00000063245,Zfp993
ENSMUSG00000023079,Gtf2ird1
ENSMUSG00000007812,Zfp655
ENSMUSG00000024406,Pou5f1
ENSMUSG00000116024,Gm49527
ENSMUSG00000034161,Scx
ENSMUSG00000042903,Foxo4
ENSMUSG00000057842,Zfp595
ENSMUSG00000057842,Zfp595
ENSMUSG00000033837,Foxh1
ENSMUSG00000073176,Zfp449
ENSMUSG00000070420,Zscan25
ENSMUSG00000062518,Zfp534
ENSMUSG00000028940,Hes2
ENSMUSG00000052684,Jun
ENSMUSG00000100133,Tgif2lx1
ENSMUSG00000100133,Tgif2lx1
ENSMUSG00000052763,Zfp212
ENSMUSG00000031326,Cdx4
ENSMUSG00000061894,Zscan20
ENSMUSG00000063972,Nr6a1
ENSMUSG00000078495,Zfp984
ENSMUSG00000057691,Zfp746
ENSMUSG00000051499,Zfp786
ENSMUSG00000063524,Eno1
