Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID	Gene name	Gene type
JH584299.1	477246	480331	1	ENSMUSG00000096550	Gm16367	protein_coding
GL456221.1	151235	152734	1	ENSMUSG00000096808		protein_coding
JH584299.1	562161	564894	1	ENSMUSG00000094172		protein_coding
JH584299.1	587624	625594	1	ENSMUSG00000094887		protein_coding
JH584299.1	716296	720517	1	ENSMUSG00000091585		protein_coding
JH584299.1	806210	809281	1	ENSMUSG00000095763		protein_coding
JH584299.1	837364	840451	1	ENSMUSG00000095523		protein_coding
JH584299.1	910289	913083	-1	ENSMUSG00000095475		protein_coding
JH584299.1	921942	924675	1	ENSMUSG00000094855		protein_coding
JH584298.1	90528	93623	1	ENSMUSG00000094722		protein_coding
JH584298.1	168268	170838	-1	ENSMUSG00000095728		protein_coding
JH584298.1	179693	182203	1	ENSMUSG00000095076		protein_coding
GL456210.1	9124	58882	-1	ENSMUSG00000079800		protein_coding
GL456210.1	108390	110303	-1	ENSMUSG00000095092		protein_coding
GL456210.1	123792	124928	1	ENSMUSG00000079192		protein_coding
GL456210.1	135395	136519	-1	ENSMUSG00000079794		protein_coding
GL456210.1	147792	149707	1	ENSMUSG00000094799		protein_coding
GL456372.1	13262	13382	-1	ENSMUSG00002074899		miRNA
GL456219.1	94186	95088	-1	ENSMUSG00000096776	Vmn1r186	protein_coding
GL456219.1	149261	150163	-1	ENSMUSG00000096244		protein_coding
Y	31419544	31423014	1	ENSMUSG00000100384	Gm28489	unprocessed_pseudogene
Y	68409633	68410328	1	ENSMUSG00000100216	Gm21867	unprocessed_pseudogene
Y	68446562	68447176	1	ENSMUSG00000099641	Gm29448	unprocessed_pseudogene
Y	68476137	68476829	1	ENSMUSG00000100271	Gm21127	unprocessed_pseudogene
Y	68549224	68551559	1	ENSMUSG00000095634	Gm20816	protein_coding
Y	68678874	68682113	-1	ENSMUSG00000101393	Gm29447	lncRNA
Y	68714125	68717466	1	ENSMUSG00000100885	Gm29446	lncRNA
Y	68718880	68719192	1	ENSMUSG00000101120	Gm29452	processed_pseudogene
Y	68755564	68756259	1	ENSMUSG00000101216	Gm29451	unprocessed_pseudogene
Y	68817865	68843997	-1	ENSMUSG00000100032	Gm20817	protein_coding
Y	68910098	68912594	-1	ENSMUSG00000101080	Gm28633	lncRNA
Y	31691308	31691835	-1	ENSMUSG00000094444	Gm21562	lncRNA
Y	68962559	68963252	1	ENSMUSG00000100308	Gm29410	unprocessed_pseudogene
Y	31732883	31735247	-1	ENSMUSG00000101423	Gm28298	lncRNA
Y	31757555	31758082	-1	ENSMUSG00000095626	Gm21572	lncRNA
Y	31795357	31797635	-1	ENSMUSG00000101761	Gm28297	lncRNA
Y	32079749	32080444	-1	ENSMUSG00000099493	Gm21753	unprocessed_pseudogene
Y	32115184	32115711	1	ENSMUSG00000096777	Gm21723	lncRNA
Y	69011221	69012780	-1	ENSMUSG00000102119	Gm28462	lncRNA
Y	69029093	69029785	1	ENSMUSG00000101147	Gm20818	unprocessed_pseudogene
Y	32136979	32139342	1	ENSMUSG00000100739	Gm28296	lncRNA
Y	32176464	32176992	1	ENSMUSG00000095345	Gm21821	lncRNA
Y	32199403	32201766	1	ENSMUSG00000100709	Gm28295	lncRNA
Y	32238884	32239411	1	ENSMUSG00000095968	Gm21842	lncRNA
Y	32260391	32262754	1	ENSMUSG00000101779	Gm28170	lncRNA
Y	32335570	32359974	1	ENSMUSG00000094529	Gm21744	unprocessed_pseudogene
Y	32449746	32452981	-1	ENSMUSG00000101745	Gm28764	lncRNA
Y	69637093	69637786	-1	ENSMUSG00000101254	Gm20932	unprocessed_pseudogene
Y	32478690	32481921	-1	ENSMUSG00000100957	Gm28762	lncRNA
Y	69681445	69681929	1	ENSMUSG00000100976	Gm29134	unprocessed_pseudogene
Y	32513341	32513787	-1	ENSMUSG00000099756	Gm28763	lncRNA
Y	69747529	69748275	-1	ENSMUSG00000100489	Gm28303	unprocessed_pseudogene
Y	69776073	69776384	-1	ENSMUSG00000101239	Gm28304	processed_pseudogene
Y	69777798	69781141	-1	ENSMUSG00000100971	Gm28824	lncRNA
Y	69813114	69816350	1	ENSMUSG00000099555	Gm28081	lncRNA
Y	69919552	69920273	-1	ENSMUSG00000101369	Gm28080	unprocessed_pseudogene
Y	69994133	69994828	-1	ENSMUSG00000101096	Gm21524	unprocessed_pseudogene
Y	32543760	32575788	-1	ENSMUSG00000095263	Gm21094	protein_coding
Y	32668010	32668537	-1	ENSMUSG00000096272	Gm21588	lncRNA
Y	32709931	32712295	-1	ENSMUSG00000099426	Gm28761	lncRNA
Y	32734585	32735112	-1	ENSMUSG00000096711	Gm21599	lncRNA
Y	32772366	32774644	-1	ENSMUSG00000101728	Gm28765	lncRNA
Y	33060550	33061245	-1	ENSMUSG00000100509	Gm21810	unprocessed_pseudogene
Y	33096043	33096570	1	ENSMUSG00000095553	Gm21916	lncRNA
Y	70015477	70026168	-1	ENSMUSG00000099550	Gm28079	protein_coding
Y	70060738	70061434	-1	ENSMUSG00000102065	Gm28302	unprocessed_pseudogene
Y	33118945	33121306	1	ENSMUSG00000101099	Gm29191	lncRNA
Y	33200363	33226418	1	ENSMUSG00000095049	Gm21756	unprocessed_pseudogene
Y	33245210	33245656	1	ENSMUSG00000101601	Gm28210	lncRNA
Y	33277090	33280321	1	ENSMUSG00000101516	Gm29074	lncRNA
Y	33292586	33296052	1	ENSMUSG00000101359	Gm28211	unprocessed_pseudogene
Y	33338010	33341245	-1	ENSMUSG00000100790	Gm28518	lncRNA
Y	33366948	33370180	-1	ENSMUSG00000101302	Gm28519	lncRNA
Y	33401372	33404604	-1	ENSMUSG00000102125	Gm28520	lncRNA
Y	33591015	33591542	-1	ENSMUSG00000094064	Gm21626	lncRNA
Y	70569681	70569995	-1	ENSMUSG00000101421	Gm28433	processed_pseudogene
Y	33632972	33635336	-1	ENSMUSG00000099461	Gm28521	lncRNA
Y	70571399	70574741	-1	ENSMUSG00000101706	Gm28431	lncRNA
Y	33657681	33658208	-1	ENSMUSG00000096532	Gm21633	lncRNA
Y	70606727	70609965	1	ENSMUSG00000101627	Gm28432	lncRNA
Y	70717406	70718098	-1	ENSMUSG00000101852	Gm20886	unprocessed_pseudogene
Y	33695556	33697834	-1	ENSMUSG00000101681	Gm28522	lncRNA
Y	70791975	70792670	-1	ENSMUSG00000099438	Gm21808	unprocessed_pseudogene
Y	33983534	33984229	-1	ENSMUSG00000101870	Gm21745	unprocessed_pseudogene
Y	34019043	34019570	1	ENSMUSG00000101472	Gm28517	lncRNA
Y	34041726	34044090	1	ENSMUSG00000101407	Gm29532	lncRNA
Y	34081254	34081781	1	ENSMUSG00000099500	Gm29531	lncRNA
Y	34104200	34106563	1	ENSMUSG00000100097	Gm28464	lncRNA
Y	70858526	70859220	-1	ENSMUSG00000099806	Gm28841	unprocessed_pseudogene
Y	34141780	34142307	1	ENSMUSG00000101474	Gm29656	lncRNA
Y	70901967	70905206	1	ENSMUSG00000099704	Gm28842	lncRNA
Y	70970640	70995300	1	ENSMUSG00000101383	Gm28843	unprocessed_pseudogene
Y	34164715	34167078	1	ENSMUSG00000099737	Gm29655	lncRNA
Y	71055755	71056450	-1	ENSMUSG00000099914	Gm28837	unprocessed_pseudogene
Y	34240427	34271956	1	ENSMUSG00000101417	Gm21647	unprocessed_pseudogene
Y	34290974	34291420	1	ENSMUSG00000101654	Gm29653	lncRNA
Y	71092740	71093054	-1	ENSMUSG00000099369	Gm28838	processed_pseudogene
Y	34366261	34369610	1	ENSMUSG00000101808	Gm29654	lncRNA
Y	71094465	71097812	-1	ENSMUSG00000101893	Gm28839	lncRNA
Y	34375474	34376170	1	ENSMUSG00000099910	Gm29651	unprocessed_pseudogene
Y	71234579	71235274	-1	ENSMUSG00000100442	Gm20866	unprocessed_pseudogene
Y	71309226	71309918	-1	ENSMUSG00000101518	Gm20868	unprocessed_pseudogene
Y	34412574	34413188	1	ENSMUSG00000099818	Gm29652	unprocessed_pseudogene
Y	34424335	34425874	-1	ENSMUSG00000100500	Gm29080	lncRNA
Y	34442179	34442871	1	ENSMUSG00000100677	Gm21184	unprocessed_pseudogene
Y	34517079	34517771	1	ENSMUSG00000100171	Gm21201	unprocessed_pseudogene
Y	71330738	71341069	-1	ENSMUSG00000101374	Gm28844	transcribed_processed_pseudogene
Y	71375583	71376278	-1	ENSMUSG00000101255	Gm21841	unprocessed_pseudogene
Y	34625479	34628719	-1	ENSMUSG00000099463	Gm29081	lncRNA
Y	34660686	34664033	1	ENSMUSG00000100745	Gm29077	lncRNA
Y	34669893	34670589	1	ENSMUSG00000101341	Gm29076	unprocessed_pseudogene
Y	34706715	34707329	1	ENSMUSG00000100193	Gm29079	unprocessed_pseudogene
Y	34718477	34720020	-1	ENSMUSG00000099651	Gm29078	lncRNA
Y	34736471	34737163	1	ENSMUSG00000101787	Gm20853	unprocessed_pseudogene
Y	34811137	34811832	1	ENSMUSG00000101043	Gm29075	unprocessed_pseudogene
Y	71703312	71729495	1	ENSMUSG00000100535	Gm20870	protein_coding
Y	34919203	34922440	-1	ENSMUSG00000099390	Gm29225	lncRNA
Y	71791138	71791833	-1	ENSMUSG00000099738	Gm28483	unprocessed_pseudogene
Y	34954443	34957786	1	ENSMUSG00000100422	Gm29226	lncRNA
Y	71828169	71828480	-1	ENSMUSG00000101988	Gm28484	unprocessed_pseudogene
Y	34959198	34959512	1	ENSMUSG00000100385	Gm29227	processed_pseudogene
Y	71975876	71976328	-1	ENSMUSG00000101336	Gm28480	unprocessed_pseudogene
Y	72050266	72050961	-1	ENSMUSG00000101593	Gm20842	unprocessed_pseudogene
Y	72114660	72115355	-1	ENSMUSG00000099733	Gm21880	unprocessed_pseudogene
Y	35146091	35149331	-1	ENSMUSG00000101626	Gm29386	lncRNA
Y	35181234	35184581	1	ENSMUSG00000101091	Gm29384	lncRNA
Y	35190684	35191379	1	ENSMUSG00000100229	Gm21896	unprocessed_pseudogene
Y	35227068	35227682	1	ENSMUSG00000101691	Gm29280	unprocessed_pseudogene
Y	35256599	35257294	1	ENSMUSG00000100540	Gm20799	unprocessed_pseudogene
Y	35305688	35306383	1	ENSMUSG00000100244	Gm29279	unprocessed_pseudogene
Y	72283195	72286433	1	ENSMUSG00000100694	Gm29182	lncRNA
Y	35413791	35417030	-1	ENSMUSG00000099799	Gm28260	lncRNA
Y	35458410	35459105	1	ENSMUSG00000099999	Gm21795	unprocessed_pseudogene
Y	72393863	72394516	-1	ENSMUSG00000101844	Gm20844	unprocessed_pseudogene
Y	35495302	35495916	1	ENSMUSG00000101806	Gm28261	unprocessed_pseudogene
Y	35507028	35508611	-1	ENSMUSG00000101632	Gm28264	lncRNA
Y	35524827	35525504	1	ENSMUSG00000099525	Gm21872	unprocessed_pseudogene
Y	35599518	35600213	1	ENSMUSG00000100749	Gm20798	unprocessed_pseudogene
Y	35717131	35720360	-1	ENSMUSG00000099963	Gm28463	lncRNA
Y	72461052	72461747	-1	ENSMUSG00000101857	Gm21757	unprocessed_pseudogene
Y	72646481	72647176	-1	ENSMUSG00000101836	Gm28968	unprocessed_pseudogene
Y	72683478	72683792	-1	ENSMUSG00000102008	Gm28495	processed_pseudogene
Y	72830907	72831599	-1	ENSMUSG00000100869	Gm20846	unprocessed_pseudogene
Y	72905796	72906473	-1	ENSMUSG00000101277	Gm20847	unprocessed_pseudogene
Y	72979301	72979978	-1	ENSMUSG00000099371	Gm20848	unprocessed_pseudogene
Y	73045713	73046408	-1	ENSMUSG00000100359	Gm21766	unprocessed_pseudogene
Y	73250481	73251173	-1	ENSMUSG00000099495	Gm20800	unprocessed_pseudogene
Y	73325104	73325781	-1	ENSMUSG00000101747	Gm21683	unprocessed_pseudogene
Y	36017393	36018007	1	ENSMUSG00000100263	Gm28468	unprocessed_pseudogene
Y	36046936	36047628	1	ENSMUSG00000101575	Gm20898	unprocessed_pseudogene
Y	73394553	73395248	-1	ENSMUSG00000101715	Gm21855	unprocessed_pseudogene
Y	36120848	36121543	1	ENSMUSG00000100785	Gm29333	unprocessed_pseudogene
Y	73436584	73439822	1	ENSMUSG00000101425	Gm29255	lncRNA
Y	73546804	73547499	-1	ENSMUSG00000100698	Gm20902	unprocessed_pseudogene
Y	36228508	36231745	-1	ENSMUSG00000099822	Gm28332	lncRNA
Y	73618131	73618826	-1	ENSMUSG00000099547	Gm28678	unprocessed_pseudogene
Y	36263746	36267089	1	ENSMUSG00000101781	Gm28333	lncRNA
Y	36268499	36268813	1	ENSMUSG00000101271	Gm28334	unprocessed_pseudogene
Y	36305080	36305775	1	ENSMUSG00000099504	Gm28335	unprocessed_pseudogene
Y	73680584	73706755	1	ENSMUSG00000099782	Gm20903	protein_coding
Y	36346482	36346928	-1	ENSMUSG00000101377	Gm28336	lncRNA
Y	73771842	73772537	-1	ENSMUSG00000101038	Gm28272	unprocessed_pseudogene
Y	36366108	36390780	-1	ENSMUSG00000101709	Gm28337	unprocessed_pseudogene
Y	73800413	73800724	-1	ENSMUSG00000100604	Gm29256	processed_pseudogene
Y	73837428	73840664	1	ENSMUSG00000099554	Gm28259	lncRNA
Y	36451056	36454295	-1	ENSMUSG00000099814	Gm28338	lncRNA
Y	73948074	73948768	-1	ENSMUSG00000101757	Gm28273	unprocessed_pseudogene
Y	74022734	74023427	-1	ENSMUSG00000100179	Gm21715	unprocessed_pseudogene
Y	36785886	36789232	1	ENSMUSG00000101815	Gm29028	lncRNA
Y	36795121	36795816	1	ENSMUSG00000101538	Gm29029	unprocessed_pseudogene
Y	74089372	74090068	-1	ENSMUSG00000100251	Gm29615	unprocessed_pseudogene
Y	36831137	36831751	1	ENSMUSG00000100983	Gm29030	unprocessed_pseudogene
Y	74129821	74133059	1	ENSMUSG00000101774	Gm29616	lncRNA
Y	36840242	36844291	-1	ENSMUSG00000101820	Gm29023	lncRNA
Y	36860659	36861354	1	ENSMUSG00000100283	Gm29024	unprocessed_pseudogene
Y	74237114	74237807	-1	ENSMUSG00000099883	Gm21784	unprocessed_pseudogene
Y	36891289	36894627	1	ENSMUSG00000099832	Gm29025	lncRNA
Y	74311469	74312164	-1	ENSMUSG00000100363	Gm20805	unprocessed_pseudogene
Y	36896033	36896347	1	ENSMUSG00000101246	Gm29026	unprocessed_pseudogene
Y	74341229	74341843	-1	ENSMUSG00000100276	Gm29618	unprocessed_pseudogene
Y	37026432	37027046	1	ENSMUSG00000101382	Gm28213	unprocessed_pseudogene
Y	74378056	74378751	-1	ENSMUSG00000101318	Gm29109	unprocessed_pseudogene
Y	37038156	37039696	-1	ENSMUSG00000099967	Gm28212	lncRNA
Y	74419644	74422882	1	ENSMUSG00000100805	Gm29108	lncRNA
Y	37055954	37056649	1	ENSMUSG00000101161	Gm21799	unprocessed_pseudogene
Y	37127875	37128570	1	ENSMUSG00000100705	Gm28227	unprocessed_pseudogene
Y	74569029	74569724	-1	ENSMUSG00000099661	Gm28781	unprocessed_pseudogene
Y	37188765	37214948	-1	ENSMUSG00000101157	Gm20905	protein_coding
Y	37319397	37320092	1	ENSMUSG00000099712	Gm29411	unprocessed_pseudogene
Y	74635165	74636247	1	ENSMUSG00000094507	Gm21913	protein_coding
Y	74647091	74647949	1	ENSMUSG00000100115	Gm28174	lncRNA
Y	37356291	37356905	1	ENSMUSG00000099586	Gm28222	unprocessed_pseudogene
Y	74760409	74760516	-1	ENSMUSG00002075716	Gm54339	rRNA
Y	37385825	37386520	1	ENSMUSG00000100066	Gm21835	unprocessed_pseudogene
Y	74800220	74800915	-1	ENSMUSG00000101881	Gm21076	unprocessed_pseudogene
Y	37502673	37505910	-1	ENSMUSG00000101879	Gm28820	lncRNA
Y	74811466	74814396	1	ENSMUSG00000101218	Gm29416	lncRNA
Y	37539682	37539996	1	ENSMUSG00000099412	Gm28223	processed_pseudogene
Y	74922124	74922231	-1	ENSMUSG00002075673	Gm54340	rRNA
Y	37576237	37576932	1	ENSMUSG00000101831	Gm29412	unprocessed_pseudogene
Y	74961912	74962607	-1	ENSMUSG00000101128	Gm21869	unprocessed_pseudogene
Y	75036649	75037353	-1	ENSMUSG00000101788	Gm20813	unprocessed_pseudogene
Y	37637165	37661980	-1	ENSMUSG00000100428	Gm29413	unprocessed_pseudogene
Y	75066333	75066947	-1	ENSMUSG00000102087	Gm28790	unprocessed_pseudogene
Y	37764182	37767528	1	ENSMUSG00000099601	Gm29671	lncRNA
Y	37773407	37774102	1	ENSMUSG00000101704	Gm21878	unprocessed_pseudogene
Y	75103168	75103863	-1	ENSMUSG00000101428	Gm29272	unprocessed_pseudogene
Y	37810308	37810922	1	ENSMUSG00000101349	Gm28162	unprocessed_pseudogene
Y	75145003	75148242	1	ENSMUSG00000100140	Gm28789	lncRNA
Y	37839981	37840676	1	ENSMUSG00000101710	Gm20922	unprocessed_pseudogene
Y	37913156	37915490	1	ENSMUSG00000094575	Gm20738	protein_coding
Y	75207125	75233327	1	ENSMUSG00000101146	Gm20814	protein_coding
Y	75293574	75294269	-1	ENSMUSG00000099499	Gm28787	unprocessed_pseudogene
Y	75330518	75330892	-1	ENSMUSG00000101213	Gm28788	processed_pseudogene
Y	38022387	38025625	-1	ENSMUSG00000100952	Gm28545	lncRNA
Y	38057568	38060910	1	ENSMUSG00000099730	Gm28547	lncRNA
Y	75367611	75370847	1	ENSMUSG00000099896	Gm29278	lncRNA
Y	38098866	38099480	1	ENSMUSG00000101873	Gm28546	unprocessed_pseudogene
Y	75476964	75477641	-1	ENSMUSG00000101980	Gm21922	unprocessed_pseudogene
Y	38128360	38129055	1	ENSMUSG00000100203	Gm21924	unprocessed_pseudogene
Y	75550972	75551667	-1	ENSMUSG00000100669	Gm21111	unprocessed_pseudogene
Y	38203093	38203788	1	ENSMUSG00000099460	Gm21735	unprocessed_pseudogene
Y	75580166	75580780	-1	ENSMUSG00000100260	Gm28608	unprocessed_pseudogene
Y	75616961	75617299	-1	ENSMUSG00000100675	Gm28607	unprocessed_pseudogene
Y	38295430	38298668	-1	ENSMUSG00000099807	Gm28771	lncRNA
Y	38331844	38335184	1	ENSMUSG00000101435	Gm28772	lncRNA
Y	75664495	75667734	1	ENSMUSG00000100544	Gm28606	lncRNA
Y	38369983	38370678	1	ENSMUSG00000100883	Gm28773	unprocessed_pseudogene
Y	75726591	75752818	1	ENSMUSG00000100902	Gm20850	protein_coding
Y	38431406	38457583	-1	ENSMUSG00000100892	Gm20897	protein_coding
Y	75813201	75813896	-1	ENSMUSG00000100673	Gm29574	unprocessed_pseudogene
Y	38516408	38519645	-1	ENSMUSG00000101050	Gm28774	lncRNA
Y	75850183	75850497	-1	ENSMUSG00000102025	Gm29575	processed_pseudogene
Y	38551562	38554905	1	ENSMUSG00000099793	Gm28775	lncRNA
Y	75997997	75998692	-1	ENSMUSG00000099944	Gm21875	unprocessed_pseudogene
Y	76072225	76072920	-1	ENSMUSG00000100226	Gm20904	unprocessed_pseudogene
Y	38561027	38561722	1	ENSMUSG00000100699	Gm21765	unprocessed_pseudogene
Y	38575128	38576129	1	ENSMUSG00000096438	Gapdh-ps15	processed_pseudogene
Y	76101831	76102508	-1	ENSMUSG00000101957	Gm29576	unprocessed_pseudogene
Y	76138763	76139455	-1	ENSMUSG00000101071	Gm29577	unprocessed_pseudogene
Y	38599181	38599795	1	ENSMUSG00000099351	Gm28776	unprocessed_pseudogene
Y	38628676	38629368	1	ENSMUSG00000099489	Gm21787	unprocessed_pseudogene
Y	76243914	76270115	1	ENSMUSG00000099425	Gm29573	unprocessed_pseudogene
Y	38702993	38703685	1	ENSMUSG00000100845	Gm28770	unprocessed_pseudogene
Y	76330429	76331148	-1	ENSMUSG00000101020	Gm28377	unprocessed_pseudogene
Y	38730279	38754706	-1	ENSMUSG00000096275	Gm20901	unprocessed_pseudogene
Y	76389931	76391013	1	ENSMUSG00000094404	Gm21776	protein_coding
Y	76512044	76512736	-1	ENSMUSG00000101408	Gm21155	unprocessed_pseudogene
Y	38827980	38830343	-1	ENSMUSG00000101771	Gm28176	lncRNA
Y	38852738	38853263	-1	ENSMUSG00000100719	Gm28786	lncRNA
Y	76586987	76587679	-1	ENSMUSG00000100643	Gm21163	unprocessed_pseudogene
Y	76616719	76617333	-1	ENSMUSG00000101898	Gm28122	unprocessed_pseudogene
Y	38890449	38892728	-1	ENSMUSG00000101740	Gm29360	lncRNA
Y	76653539	76653877	-1	ENSMUSG00000100050	Gm28121	unprocessed_pseudogene
Y	39033735	39034427	1	ENSMUSG00000101292	Gm29496	unprocessed_pseudogene
Y	39114193	39117425	-1	ENSMUSG00000100588	Gm29497	lncRNA
Y	39299890	39300375	-1	ENSMUSG00000102050	Gm29499	unprocessed_pseudogene
Y	76860450	76861145	-1	ENSMUSG00000101238	Gm28123	unprocessed_pseudogene
Y	76897545	76897859	-1	ENSMUSG00000100406	Gm28120	processed_pseudogene
Y	76934608	76937847	1	ENSMUSG00000099526	Gm29313	lncRNA
Y	39367166	39369445	1	ENSMUSG00000101040	Gm29498	lncRNA
Y	77085302	77085997	-1	ENSMUSG00000100560	Gm21180	unprocessed_pseudogene
Y	39406588	39407085	1	ENSMUSG00000101272	Gm36782	lncRNA
Y	77159999	77160691	-1	ENSMUSG00000101478	Gm20859	unprocessed_pseudogene
Y	39459472	39459969	1	ENSMUSG00000101633	Gm29839	lncRNA
Y	77189641	77190255	-1	ENSMUSG00000101283	Gm29314	unprocessed_pseudogene
Y	39545114	39569544	1	ENSMUSG00000101727	Gm29495	unprocessed_pseudogene
Y	77226496	77227191	-1	ENSMUSG00000100907	Gm29310	unprocessed_pseudogene
Y	39943632	39944326	-1	ENSMUSG00000101124	Gm28371	unprocessed_pseudogene
Y	77268515	77271301	1	ENSMUSG00000101960	Gm29311	lncRNA
Y	40060001	40067892	1	ENSMUSG00000099723	Gm28595	lncRNA
Y	77330268	77356520	1	ENSMUSG00000095179	Gm21638	unprocessed_pseudogene
Y	40144240	40147214	1	ENSMUSG00000104381	Gm37032	TEC
Y	77417625	77418320	-1	ENSMUSG00000101917	Gm29312	unprocessed_pseudogene
Y	77454469	77454783	-1	ENSMUSG00000101205	Gm29308	processed_pseudogene
Y	77456192	77459535	-1	ENSMUSG00000100526	Gm29309	lncRNA
Y	77488086	77493212	-1	ENSMUSG00000101785	Gm28702	lncRNA
Y	77490182	77492406	1	ENSMUSG00000100149	Gm28701	lncRNA
