early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
CNTNAP2	2492	1406	1087	6012	4036	5213	2607	1925
C7orf33	0	0	0	0	0	0	0	0
CUL1	4648	255	1441	1107	719	1402	3118	408
EZH2	10010	377	2262	1606	1135	2906	6051	898
PDIA4	9006	240	3888	972	471	945	8870	323
ZNF786	708	36	193	173	162	254	517	63
ZNF425	315	21	110	89	103	138	295	25
ZNF398	779	55	310	230	206	267	542	79
ZNF282	720	29	220	117	102	144	588	49
ZNF212	687	43	278	180	145	284	661	58
ZNF783	317	34	117	83	72	102	290	31
ZNF777	784	22	258	135	116	156	629	41
ZNF746	953	28	324	127	101	178	731	40
KRBA1	449	13	141	57	33	74	366	21
ZNF467	552	21	181	94	124	102	756	22
SSPO	151	6	34	15	17	30	86	11
ZNF862	165	78	42	295	245	405	125	119
ATP6V0E2	3809	103	1831	503	365	721	3064	196
ACTR3C	3	5	3	5	6	4	2	4
ZBED6CL	5	0	29	2	2	0	2	1
LRRC61	68	10	511	68	32	15	42	25
RARRES2	4867	222	791	373	81	137	6145	115
REPIN1	6294	113	1400	444	255	642	3896	186
ZNF775	2684	57	852	258	202	424	2118	131
AC073111.4	345	10	104	26	19	40	335	13
GIMAP8	0	0	0	0	0	0	0	0
GIMAP7	0	0	0	0	0	0	1	0
GIMAP4	3	0	0	0	1	0	1	0
GIMAP6	0	0	0	0	0	0	0	0
GIMAP2	0	0	0	1	0	0	0	0
GIMAP1	0	0	0	0	0	1	0	0
GIMAP5	0	0	0	0	1	0	4	0
TMEM176B	54	0	26	3	4	8	57	1
TMEM176A	19	0	26	5	0	1	51	2
AOC1	0	0	0	2	0	2	1	4
KCNH2	329	6	191	46	39	58	399	7
NOS3	139	5	112	17	10	16	224	6
ATG9B	337	8	54	26	24	34	380	14
ABCB8	849	29	241	88	80	107	714	42
ASIC3	46	1	13	2	1	2	44	3
CDK5	1460	59	561	123	147	207	1203	58
SLC4A2	1588	34	504	125	86	155	1293	37
FASTK	2459	52	843	201	149	266	2097	76
TMUB1	2780	52	863	226	151	339	2456	104
AGAP3	1787	59	509	199	122	303	1528	98
GBX1	0	1	0	3	3	2	0	6
ASB10	0	2	0	0	0	0	0	0
IQCA1L	0	0	0	2	0	0	1	0
AC021097.2	0	0	0	0	0	0	0	1
ABCF2	0	56	0	284	155	387	2	89
CHPF2	511	10	214	63	29	66	521	13
SMARCD3	2390	57	452	182	202	354	1640	96
NUB1	3578	115	846	504	358	763	2534	208
WDR86	539	32	173	68	134	213	318	48
CRYGN	12	1	9	0	5	7	20	3
RHEB	9665	563	3364	1914	1309	2673	6972	765
PRKAG2	989	31	365	155	158	262	493	76
GALNTL5	0	1	0	0	1	0	1	0
GALNT11	2716	135	1046	529	435	832	2419	214
KMT2C	3168	464	1453	1728	1385	2516	2125	637
XRCC2	3862	103	1070	499	317	915	1905	204
ACTR3B	2040	84	652	263	204	460	1503	116
DPP6	72	17	36	177	217	321	196	53
PAXIP1	1512	73	394	244	172	341	1009	87
HTR5A	0	0	2	0	0	0	0	0
INSIG1	2690	61	546	383	147	480	2130	133
EN2	218	15	1	12	6	5	489	5
CNPY1	192	0	6	1	0	0	263	0
RBM33	3345	261	1001	831	642	1255	2276	342
SHH	7	0	2	1	0	2	18	0
RNF32	182	13	52	50	33	53	208	19
LMBR1	1229	185	377	810	511	990	898	339
NOM1	2465	50	685	200	115	291	1671	111
MNX1	22	1	0	2	6	0	30	0
UBE3C	1433	234	523	891	597	1037	1066	371
DNAJB6	8862	437	3699	1637	1157	2385	7059	636
PTPRN2	22	113	99	498	281	524	716	215
NCAPG2	1993	132	681	495	318	664	1465	225
ESYT2	846	108	380	402	306	430	756	135
WDR60	5151	211	1623	851	631	1348	3900	408
VIPR2	490	4	129	3	11	49	190	8
PLCXD1	31	71	12	236	204	303	44	117
GTPBP6	268	123	94	291	236	493	251	195
PPP2R3B	655	107	284	308	222	429	758	179
SHOX	0	0	0	0	0	0	0	0
CRLF2	0	2	1	0	6	1	0	0
CSF2RA	0	11	2	64	26	28	3	12
IL3RA	2	77	1	207	171	249	4	89
SLC25A6	1350	1109	689	3161	2603	5196	1422	1693
ASMTL	336	134	237	433	266	364	492	214
P2RY8	0	1	0	2	0	1	0	2
AKAP17A	326	58	154	272	155	221	429	105
ASMT	3	0	3	0	3	2	5	0
DHRSX	227	441	82	1344	1059	1147	297	639
ZBED1	3	67	0	249	196	328	1	125
CD99	837	522	360	1509	1503	1461	1315	797
XG	3	1	3	5	12	6	3	0
GYG2	1959	77	914	605	406	440	1171	90
ARSD	538	20	253	122	115	85	402	16
ARSE	564	21	145	147	35	64	356	19
ARSH	0	0	0	0	0	0	0	0
ARSF	0	0	1	1	0	2	2	1
MXRA5	165	8	164	93	51	67	134	7
PRKX	2219	86	1086	388	227	361	1435	126
NLGN4X	1520	223	1138	1439	1014	1307	1056	337
VCX3A	2	1	1	11	6	5	8	1
PUDP	1483	104	858	1044	492	615	1033	156
STS	292	97	108	1062	469	297	127	97
VCX	64	1	31	8	7	0	8	0
PNPLA4	2015	80	2042	544	357	326	1956	90
VCX2	0	0	2	0	0	1	3	0
VCX3B	20	0	28	3	3	3	27	0
ANOS1	1570	163	778	814	353	466	985	142
FAM9A	0	0	0	0	0	0	0	0
FAM9B	1	0	0	2	1	3	1	0
TBL1X	3222	338	2057	2022	1698	2302	1918	594
GPR143	1410	58	1703	523	340	251	1333	66
SHROOM2	502	69	376	461	351	346	328	101
CLDN34	5	1	2	0	4	0	6	1
WWC3	1423	64	1499	461	145	276	1064	101
CLCN4	457	28	449	300	129	130	383	40
MID1	3861	776	1635	8034	6035	3568	3606	1003
HCCS	1851	44	1420	389	110	258	1546	80
ARHGAP6	110	60	54	433	112	332	72	115
AMELX	0	0	0	0	0	0	0	0
MSL3	2591	52	1445	564	275	399	1734	115
FRMPD4	4	3	1	22	33	34	2	8
PRPS2	1943	50	830	274	131	410	1063	96
TLR7	3	0	1	1	0	0	1	1
TLR8	0	0	0	0	0	0	0	0
TMSB4X	274994	4833	114601	34612	41054	45379	121706	8811
FAM9C	6	0	5	0	0	1	0	0
ATXN3L	0	0	0	0	0	0	0	0
EGFL6	55	3	72	100	60	21	123	5
TCEANC	157	6	92	51	22	47	113	9
RAB9A	2593	77	1946	596	509	447	2080	102
TRAPPC2	1601	73	922	587	529	395	1020	83
OFD1	3632	112	2205	760	620	621	2680	148
GPM6B	9012	200	4006	2166	1466	1637	4361	289
GEMIN8	990	29	658	204	184	181	746	64
GLRA2	4	34	2	258	127	220	3	52
FANCB	1586	102	853	709	258	694	873	155
MOSPD2	782	56	651	396	148	302	642	81
ASB9	24	1	49	34	0	3	18	3
ASB11	0	0	0	1	2	0	0	0
PIGA	352	34	125	223	77	183	297	37
VEGFD	27	6	37	45	14	25	6	6
PIR	3926	115	1245	832	301	384	1812	124
BMX	0	3	0	18	6	8	1	4
ACE2	0	0	0	2	0	2	2	0
CLTRN	140	4	105	43	12	43	149	10
CA5B	220	67	116	519	214	445	174	103
ZRSR2	1360	43	499	297	231	283	705	54
AP1S2	9366	266	5550	2069	1226	1456	6646	275
GRPR	26	1	33	7	4	11	16	4
MAGEB17	1	1	0	1	1	2	2	0
CTPS2	2304	125	835	758	574	957	935	171
S100G	1	0	0	5	2	2	0	2
SYAP1	6845	155	2924	1164	672	963	3285	194
TXLNG	3978	75	1474	491	305	580	1575	121
RBBP7	17125	270	6476	2000	1236	1984	7079	443
REPS2	13	9	36	50	52	13	32	6
NHS	397	87	317	1103	1023	653	274	167
SCML1	1388	66	504	318	453	717	653	138
RAI2	20	7	60	92	26	25	56	9
BEND2	1	0	1	1	0	0	1	2
SCML2	861	92	542	599	209	404	731	123
CDKL5	625	74	372	644	295	463	450	125
RS1	7	0	4	8	4	1	13	2
PPEF1	93	5	10	25	18	30	20	4
PHKA2	609	33	460	304	118	242	390	69
ADGRG2	64	7	103	40	15	28	37	11
PDHA1	7800	261	6028	1755	515	1174	6828	343
MAP3K15	46	4	35	64	14	38	64	10
SH3KBP1	839	36	665	239	102	231	699	63
BCLAF3	1005	66	643	327	164	293	635	83
MAP7D2	497	13	121	174	48	84	379	27
EIF1AX	7498	537	4902	3927	2842	3515	6684	957
RPS6KA3	1737	218	1229	1604	518	1039	1474	277
CNKSR2	1349	127	646	1153	380	798	572	254
KLHL34	81	3	31	13	6	9	47	2
SMPX	19	2	7	8	0	0	26	1
MBTPS2	642	43	233	441	146	342	460	76
YY2	162	8	59	43	11	28	75	7
SMS	28662	635	12113	4086	1919	2781	14780	1201
PHEX	29	4	2	22	45	36	11	17
CBLL2	0	0	0	0	0	0	0	0
DDX53	0	0	1	0	2	1	1	0
PTCHD1	146	12	36	76	363	317	137	28
PRDX4	21236	498	11114	3250	1898	2250	17441	640
ACOT9	1784	73	933	442	178	309	1185	113
SAT1	7935	457	7436	1050	619	765	8463	439
APOO	5953	206	2815	1378	1025	1051	3844	298
CXorf58	14	3	2	6	4	5	14	3
KLHL15	314	31	223	277	206	166	225	74
EIF2S3	14559	292	9848	2386	1409	2004	9937	541
ZFX	2721	131	931	1062	742	1340	1068	236
PDK3	1656	124	1448	823	548	616	1527	149
PCYT1B	364	5	252	49	58	100	302	10
POLA1	2010	267	874	1895	1232	1556	950	380
ARX	6178	170	231	609	1652	2202	3747	524
MAGEB18	0	0	0	0	0	0	1	0
MAGEB6B	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	1	0
MAGEB5	0	0	0	0	0	0	0	0
PPP4R3C	0	0	0	0	0	0	0	0
DCAF8L2	0	0	0	0	0	1	0	0
MAGEB10	0	0	0	0	0	0	0	0
DCAF8L1	0	0	0	0	0	0	0	0
IL1RAPL1	183	234	71	1184	1748	3373	70	470
MAGEB2	0	0	0	0	0	0	0	1
MAGEB3	0	0	0	0	0	0	2	0
MAGEB4	0	0	0	0	0	0	1	0
MAGEB1	0	0	0	0	0	0	1	0
NR0B1	16	1	7	2	2	1	23	0
CXorf21	0	0	0	0	0	0	0	0
GK	649	44	121	318	131	215	431	44
TAB3	429	44	163	252	101	205	298	48
FTHL17	0	0	0	0	0	0	0	0
DMD	2778	707	649	4575	2322	4509	2134	1059
FAM47A	1	0	0	0	0	0	0	0
TMEM47	5851	113	3187	1073	385	1138	2118	154
FAM47B	0	0	0	0	0	0	0	0
MAGEB16	0	0	0	0	0	1	0	0
CFAP47	69	57	9	488	330	218	85	64
FAM47C	0	0	0	0	0	0	0	0
PRRG1	483	48	236	312	102	197	256	64
LANCL3	10	3	6	7	3	2	17	1
XK	102	2	38	34	13	11	83	1
CYBB	7	0	3	4	1	0	3	2
DYNLT3	1290	58	482	328	127	278	1155	77
HYPM	0	0	0	0	0	0	0	0
AL121578.2	0	0	0	2	1	0	2	0
SYTL5	10	2	42	16	1	6	17	3
SRPX	277	12	293	66	13	56	255	15
RPGR	2093	100	949	710	359	641	1588	141
OTC	5	0	2	1	1	1	0	1
TSPAN7	819	45	471	206	165	544	336	92
MID1IP1	2689	58	1527	340	107	328	2340	80
BCOR	1163	107	474	349	248	411	754	106
ATP6AP2	7888	250	6472	1792	602	1375	6356	297
MPC1L	0	0	0	0	0	0	0	0
CXorf38	1140	55	661	207	76	158	759	60
MED14	1438	136	1006	892	311	652	777	149
USP9X	6339	293	4836	2135	774	1849	3429	454
DDX3X	12780	341	4945	2206	959	2724	6947	605
NYX	20	0	9	12	2	9	17	1
CASK	3884	471	2058	3445	1154	2539	1926	684
GPR34	0	9	0	32	12	19	1	6
GPR82	875	10	260	118	45	88	270	20
PPP1R2C	0	0	0	0	0	0	0	0
MAOA	134	14	151	76	21	57	260	4
MAOB	169	3	61	88	40	71	187	14
NDP	147	1	119	10	13	40	55	8
EFHC2	151	33	53	170	66	116	164	26
FUNDC1	3466	86	2159	668	275	562	2833	162
DUSP21	0	0	0	0	0	0	0	0
KDM6A	882	318	707	1691	646	1372	633	409
DIPK2B	0	1	0	1	0	0	1	0
KRBOX4	878	47	303	208	136	369	664	85
ZNF674	125	18	119	82	46	76	97	25
CHST7	769	10	382	71	33	66	478	52
SLC9A7	327	30	233	192	122	170	267	59
RP2	567	46	461	285	114	246	418	60
JADE3	556	114	422	725	252	532	361	192
RGN	136	21	176	144	39	80	225	12
NDUFB11	35316	1001	23461	7528	3077	5720	26101	1558
RBM10	3583	98	1414	647	331	534	2749	167
UBA1	9260	166	4232	945	513	785	3964	228
CDK16	6948	123	2726	713	469	613	3620	185
USP11	8866	187	3920	1329	764	1127	4591	305
ZNF157	20	4	5	26	20	34	22	9
ZNF41	149	16	79	157	53	160	85	35
ARAF	1248	36	854	295	82	210	952	51
SYN1	122	2	107	20	7	19	132	3
TIMP1	4943	193	7381	1733	630	1035	7945	243
CFP	16	0	12	3	1	3	20	0
ELK1	1046	29	884	260	80	158	800	30
UXT	13242	336	8217	1424	875	1946	10596	471
ZNF81	184	57	96	196	121	228	142	73
ZNF182	453	15	171	55	39	101	354	23
ZNF630	45	0	20	30	33	46	42	24
SPACA5	0	0	0	1	0	0	0	0
SPACA5B	0	0	0	0	0	0	0	0
SSX5	0	0	0	0	0	0	0	0
SSX1	0	0	1	0	1	0	1	0
SSX3	1	0	0	0	0	0	0	0
SSX4	0	0	0	0	0	0	0	0
SSX4B	0	0	0	0	0	0	0	0
SLC38A5	562	6	94	35	19	23	684	7
FTSJ1	1257	34	425	275	100	203	1106	47
PORCN	452	14	184	91	33	65	380	19
EBP	12136	273	2968	1435	610	1328	9771	410
TBC1D25	321	11	122	68	39	85	237	24
RBM3	20151	343	5103	1077	720	2327	13181	557
WDR13	3007	94	931	535	241	433	2575	119
WAS	37	2	23	27	12	18	50	5
SUV39H1	612	15	187	74	26	77	410	17
GLOD5	0	1	0	3	0	1	2	2
GATA1	1	1	0	1	0	3	3	0
HDAC6	1652	49	752	346	150	251	1147	59
ERAS	8	0	5	1	3	0	5	1
PCSK1N	1314	55	454	195	746	307	1645	92
PQBP1	6302	143	3666	954	435	863	4984	267
TIMM17B	9518	353	7288	2190	829	1878	7364	516
SLC35A2	753	18	663	136	50	104	709	25
PIM2	610	8	921	62	39	79	580	21
OTUD5	1672	74	1233	484	176	344	1414	81
KCND1	35	3	39	11	11	3	38	2
GRIPAP1	2202	70	1450	467	188	385	1641	104
TFE3	507	19	553	145	36	97	471	26
CCDC120	338	13	280	127	50	81	302	20
PRAF2	3036	105	2225	759	254	530	2837	127
WDR45	1406	61	1239	454	201	289	1244	74
GPKOW	1208	41	622	233	83	170	1061	55
MAGIX	105	0	75	29	9	18	181	5
PLP2	290	9	232	73	36	56	1044	11
PRICKLE3	175	6	208	51	15	32	202	9
SYP	582	11	79	42	64	98	556	27
CACNA1F	18	2	23	45	10	8	54	2
CCDC22	1588	41	684	308	113	246	1252	60
FOXP3	11	1	3	3	1	3	10	1
PPP1R3F	1201	63	355	280	209	271	1218	81
GAGE10	3	1	1	11	7	9	2	0
GAGE12J	0	0	1	0	0	0	0	0
GAGE13	0	0	0	0	0	0	0	0
GAGE2E	0	0	0	0	0	0	0	0
GAGE12B	0	0	0	0	0	0	0	0
GAGE12C	0	0	0	0	0	0	0	0
GAGE12D	0	0	0	0	0	0	0	0
GAGE12F	0	0	0	0	0	0	0	0
GAGE12E	0	0	0	0	0	0	0	0
GAGE12G	0	0	0	0	0	0	0	0
GAGE12H	0	0	0	0	0	0	0	0
GAGE1	1	0	1	0	0	0	0	0
GAGE2A	0	0	0	0	0	0	1	0
PAGE1	0	0	0	0	0	0	0	0
PAGE4	5	0	12	1	1	2	11	1
USP27X	522	18	392	145	66	103	486	31
CLCN5	754	83	869	765	220	375	786	110
AKAP4	0	0	0	0	0	0	2	0
CCNB3	35	4	18	24	4	9	31	6
DGKK	7	2	17	8	5	15	5	5
SHROOM4	152	93	97	1287	229	336	312	111
BMP15	0	0	0	0	0	0	0	0
NUDT10	1372	12	358	157	68	158	921	41
EZHIP	7	0	0	2	0	1	1	3
NUDT11	3180	80	733	439	172	583	1962	146
CENPVL3	1133	26	285	163	75	152	732	50
CENPVL2	0	0	0	0	0	0	0	0
CENPVL1	0	0	0	0	0	0	0	0
GSPT2	3429	99	1072	478	288	578	2630	147
MAGED1	8702	396	2541	3347	1187	2236	6727	619
MAGED4B	0	0	0	0	0	1	0	0
MAGED4	8	2	7	4	1	2	11	2
XAGE2	30	1	1	1	0	3	45	3
XAGE1A	0	0	0	0	0	0	0	0
XAGE1B	0	0	0	0	0	0	0	0
SSX7	0	0	0	0	0	1	0	0
SSX2	0	0	0	0	0	0	0	0
SSX2B	0	0	0	0	0	1	0	0
SPANXN5	0	0	0	0	0	0	1	0
XAGE5	0	0	0	0	0	0	0	0
XAGE3	5	0	1	0	0	1	11	0
FAM156B	0	0	0	0	0	0	0	0
FAM156A	8	19	1	104	57	84	6	21
GPR173	476	96	210	734	352	1022	313	207
TSPYL2	1336	51	471	449	121	223	1126	117
KANTR	811	112	304	768	356	723	693	218
KDM5C	2301	65	1058	481	177	313	1213	73
IQSEC2	402	15	441	216	78	89	372	32
SMC1A	13330	378	7109	2546	842	2386	8455	558
RIBC1	255	9	130	93	36	53	253	6
HSD17B10	11111	235	4401	1354	676	1349	8261	419
HUWE1	6542	361	2368	1406	968	1986	4729	540
PHF8	870	56	285	185	164	331	607	85
FAM120C	473	30	169	164	136	247	340	63
WNK3	6025	276	2015	1123	776	1635	4306	401
TSR2	4320	136	1727	855	313	772	3629	222
FGD1	1235	45	448	371	166	261	791	77
GNL3L	1912	53	565	432	148	354	1366	63
ITIH6	4	0	0	4	5	5	3	1
MAGED2	19695	611	8235	2495	1450	3060	17950	882
TRO	934	51	310	155	141	247	781	58
PFKFB1	7	5	0	3	11	15	2	6
APEX2	1175	11	329	80	42	86	845	38
ALAS2	2	0	1	3	1	1	3	0
PAGE2B	4	0	1	1	0	0	6	0
PAGE2	0	0	0	0	0	0	0	0
FAM104B	3652	93	752	371	219	477	2594	174
MTRNR2L10	7	3	4	7	9	13	5	5
PAGE5	0	0	0	0	0	0	0	0
PAGE3	0	0	0	0	0	0	0	0
MAGEH1	3291	88	19	400	34	22	3189	85
USP51	1753	59	5	245	112	10	1432	72
FOXR2	0	0	0	0	0	0	1	0
RRAGB	1170	67	11	226	209	20	1051	97
KLF8	276	11	6	37	49	5	297	12
UBQLN2	2015	39	605	388	139	325	1537	73
NBDY	12920	600	3922	3404	1368	2405	9716	793
SPIN3	673	38	284	292	106	224	511	65
SPIN2B	795	23	300	182	63	137	703	32
SPIN2A	72	10	73	64	20	24	83	4
FAAH2	149	95	81	775	379	531	155	171
ZXDB	214	9	67	57	21	42	148	12
NLRP2B	4	0	1	2	1	2	4	0
ZXDA	104	0	2	24	9	1	94	3
SPIN4	502	17	187	66	60	107	367	19
ARHGEF9	3721	262	958	894	721	1319	2627	404
AMER1	708	9	177	76	49	120	449	21
ASB12	22	0	1	0	3	2	15	1
MTMR8	93	58	20	158	162	247	62	67
ZC4H2	1712	284	544	1000	844	1781	1308	486
ZC3H12B	245	141	82	447	373	567	177	146
LAS1L	3628	90	1165	353	183	505	2528	142
MSN	4840	156	1590	619	410	801	3800	229
VSIG4	0	0	0	0	0	0	0	0
HEPH	661	89	27	20	257	406	764	100
EDA2R	359	30	204	101	14	114	214	36
AR	1029	60	352	170	162	334	630	93
OPHN1	576	95	124	342	469	840	391	192
YIPF6	4751	192	1903	614	382	840	4225	221
STARD8	22	2	5	6	3	5	28	4
EFNB1	5524	90	983	453	215	696	2564	151
PJA1	2940	80	1393	553	208	441	2159	120
FAM155B	212	3	45	22	15	40	107	9
EDA	297	172	158	503	385	841	270	275
AWAT2	1	0	0	0	0	0	1	0
OTUD6A	4	1	2	3	3	2	1	1
IGBP1	4462	202	1812	755	693	1116	3494	276
DGAT2L6	1	0	0	11	3	7	0	3
AWAT1	0	0	0	1	1	7	0	0
P2RY4	0	0	1	0	0	0	0	0
ARR3	3	1	0	3	0	4	6	2
RAB41	1	0	0	0	0	0	4	1
PDZD11	4896	137	1434	590	430	764	3742	200
KIF4A	4322	201	1159	659	457	1075	2620	343
GDPD2	965	25	239	111	49	72	1185	21
DLG3	1908	132	889	480	348	838	1410	205
TEX11	3	11	2	7	5	12	7	5
SLC7A3	844	33	424	86	67	145	560	37
SNX12	1364	34	569	155	112	283	1096	56
FOXO4	96	7	25	7	6	22	82	6
CXorf65	0	0	0	0	0	0	0	0
IL2RG	2	0	2	0	1	0	0	0
MED12	1200	54	102	121	103	189	813	61
NLGN3	1182	41	207	131	127	236	758	60
GJB1	4	1	0	2	1	7	7	1
ZMYM3	2077	56	789	228	159	274	1707	69
NONO	26749	773	8566	2667	1841	5129	20262	1236
ITGB1BP2	38	3	12	4	2	4	30	5
TAF1	1537	120	551	363	280	597	1077	158
OGT	2490	136	957	550	374	945	1590	253
GCNA	20	7	16	22	16	28	27	16
CXCR3	0	0	0	0	0	0	0	0
BX276092.9	0	0	0	0	0	0	1	0
CXorf49	0	0	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0	0	0
NHSL2	409	39	177	247	53	120	345	38
RTL5	532	8	131	88	35	98	385	22
PIN4	7071	292	2601	1515	739	1239	5814	343
ERCC6L	1296	34	392	193	92	244	811	87
RPS4X	247068	7743	159701	49947	21071	44628	188945	10999
CITED1	19	7	5	27	14	32	5	7
HDAC8	2113	421	697	2786	1119	1922	1669	595
PHKA1	272	21	85	174	93	189	139	34
DMRTC1B	0	1	0	9	4	3	0	1
FAM236B	0	0	0	0	0	0	0	0
FAM236D	0	0	0	0	0	0	0	0
DMRTC1	0	0	0	2	5	4	0	2
FAM236C	0	0	0	0	0	0	0	0
FAM236A	0	0	0	0	0	0	0	0
PABPC1L2B	5	0	4	0	1	0	4	0
PABPC1L2A	9	0	10	1	0	1	4	0
NAP1L2	323	8	144	41	33	54	299	14
CDX4	44	2	63	3	2	2	122	2
CHIC1	295	63	141	460	212	395	260	100
ZCCHC13	0	0	0	0	0	0	0	0
SLC16A2	2373	116	887	1039	439	549	1195	177
RLIM	1823	118	589	427	316	688	1389	174
NEXMIF	469	71	51	312	394	645	269	132
ABCB7	2627	179	828	672	403	978	2001	272
UPRT	588	35	226	207	112	174	641	50
ZDHHC15	315	48	127	154	188	410	230	84
MAGEE2	4	0	0	0	0	0	1	0
PBDC1	6022	182	2512	659	443	1048	5217	312
MAGEE1	457	14	220	58	50	77	316	22
FGF16	12	1	4	3	1	3	5	1
ATRX	20957	933	6701	6930	2799	5852	14697	1474
MAGT1	2366	113	1198	1088	310	534	2289	153
COX7B	24443	654	9716	4858	1583	3100	19565	911
ATP7A	362	18	131	119	43	94	272	21
PGK1	26423	607	11194	5871	1569	3681	36969	1157
PGAM4	50	0	16	1	0	3	31	0
TAF9B	2186	87	650	349	212	455	74	100
CYSLTR1	2	0	1	1	3	0	1	1
RTL3	0	0	0	0	0	0	0	0
LPAR4	1372	40	647	171	110	325	674	67
P2RY10	0	0	0	0	0	0	0	0
GPR174	0	0	0	0	0	0	0	0
ITM2A	397	9	182	36	27	56	494	22
TBX22	3	4	2	0	2	5	5	2
TENT5D	0	2	0	2	9	1	1	2
BRWD3	2178	221	850	1151	484	1045	1436	281
HMGN5	7714	181	1194	712	575	1113	4305	338
SH3BGRL	11981	339	2537	2207	1365	2417	6241	631
POU3F4	876	29	27	46	58	162	374	40
CYLC1	1	0	0	0	0	0	0	0
RPS6KA6	785	95	220	428	187	397	403	107
HDX	807	97	219	521	299	548	585	171
APOOL	1604	126	495	698	312	566	1172	180
SATL1	149	13	14	67	66	109	116	23
ZNF711	1805	112	639	760	379	759	1370	197
POF1B	2	0	0	8	7	4	4	1
CHM	1603	135	1189	844	331	676	1049	188
DACH2	174	41	55	389	116	331	173	50
KLHL4	503	10	111	91	45	41	361	6
CPXCR1	0	0	0	0	0	1	0	0
TGIF2LX	0	0	0	0	0	0	0	0
PABPC5	537	12	267	148	143	129	305	29
PCDH11X	1590	311	906	2367	1855	2128	516	321
NAP1L3	1109	34	750	271	256	212	705	59
FAM133A	135	12	147	47	44	45	213	10
DIAPH2	1926	276	1402	1942	1136	1671	1201	366
RPA4	110	4	35	6	9	6	56	3
PCDH19	862	28	104	159	157	364	233	56
TNMD	87	4	26	7	3	5	191	1
TSPAN6	10232	289	6485	2327	808	1977	8178	493
SRPX2	3	0	4	7	5	4	1	1
SYTL4	31	8	10	53	12	30	53	9
CSTF2	1121	49	366	292	112	245	841	67
NOX1	0	1	0	2	1	4	2	1
XKRX	37	1	8	15	6	26	17	3
ARL13A	1	0	0	7	4	1	0	0
TRMT2B	482	25	174	167	82	162	339	26
TMEM35A	826	33	284	137	125	194	626	47
CENPI	735	84	158	357	232	480	491	161
DRP2	51	3	19	16	19	25	26	4
TAF7L	41	2	7	16	5	10	18	4
TIMM8A	1974	49	845	392	117	253	1682	81
BTK	3	1	2	2	0	1	2	2
RPL36A	16605	3891	5654	22913	9012	23159	12759	5989
GLA	2586	87	947	664	166	495	2060	115
HNRNPH2	6477	228	2220	1648	609	1261	5119	295
ARMCX4	544	84	256	691	357	504	465	111
ARMCX1	3056	115	1371	897	267	586	2619	135
ARMCX6	417	116	91	1123	437	874	249	212
ARMCX3	5949	180	2483	1792	616	1254	4190	258
ARMCX2	5322	113	1852	1166	232	702	3826	189
NXF5	0	0	0	0	1	1	0	0
ZMAT1	1121	54	310	320	180	375	784	98
TCEAL2	5922	124	1215	579	762	1091	4692	217
TCEAL6	10	1	0	3	0	2	133	4
BEX5	600	11	263	74	125	166	731	31
TCP11X1	0	0	0	0	0	0	0	0
NXF2	0	0	0	1	0	1	0	0
NXF2B	0	0	0	0	1	3	0	2
TCP11X2	0	0	0	0	1	0	0	0
TMSB15A	52986	1387	8365	9183	4497	10518	25416	2635
ARMCX5	1115	25	305	176	80	137	872	31
GPRASP1	310	9	73	91	33	60	251	13
GPRASP2	1192	20	306	178	62	129	703	40
ARMCX5-GPRASP2	13	93	2	588	277	495	11	139
BHLHB9	31	0	9	12	3	12	19	3
RAB40AL	4	0	2	2	0	2	4	0
BEX1	9395	196	2480	1833	1142	1764	9836	622
NXF3	1	0	0	1	0	0	0	0
BEX4	12443	401	8352	2970	1186	2010	11353	476
TCEAL8	8381	246	6357	1894	1144	1375	7789	345
TCEAL5	2232	79	1702	697	17	658	158	150
BEX2	4875	156	4430	1121	959	1058	4258	283
TCEAL7	2853	120	4567	1103	546	959	2605	189
TCEAL9	8546	277	7372	2101	1330	1482	7546	371
BEX3	67218	1696	39463	12913	9248	10428	53631	2523
RAB40A	16	12	4	49	33	40	11	12
TCEAL4	10539	350	8353	2893	1159	2175	9777	498
TCEAL3	3391	134	1916	1056	506	922	2889	160
TCEAL1	1051	30	565	207	163	209	954	41
MORF4L2	18200	679	11538	4402	1818	4098	13607	980
GLRA4	0	0	1	1	4	0	3	2
TMEM31	77	4	72	17	5	11	73	5
PLP1	3901	62	4749	652	420	1085	1138	114
RAB9B	530	27	224	195	143	141	252	36
TMSB15B	63	38	36	299	168	278	74	71
H2BFWT	6	0	1	1	0	0	3	0
H2BFM	6	1	6	2	1	1	6	0
TMSB15B.1	15	13	12	100	53	113	8	33
SLC25A53	566	51	282	324	210	300	474	73
ZCCHC18	514	18	229	96	116	79	532	20
FAM199X	1302	90	982	699	440	504	1105	122
ESX1	0	0	1	0	0	2	2	0
IL1RAPL2	10	48	2	187	428	730	1	47
TEX13A	0	0	1	0	0	0	0	0
NRK	13	2	11	2	0	7	12	2
SERPINA7	2	2	0	0	0	0	0	1
PWWP3B	237	26	58	82	110	119	301	27
RADX	291	17	72	143	130	135	120	26
RNF128	4	6	4	23	12	19	6	10
