pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Fam19a2	0	0	0	0	0	0
Slc16a7	1	2	0	1	0	0
Lrig3	69	53	37	25	38	36
Atp23	232	137	73	78	87	86
Ctdsp2	421	275	156	167	177	184
Avil	5	1	0	0	0	1
Tsfm	981	544	243	278	306	311
Eef1akmt3	5	2	3	2	0	1
Mettl1	436	269	144	161	165	165
March9	169	115	47	46	50	60
Cdk4	3256	2033	980	1006	1299	1307
Tspan31	464	267	149	150	165	157
A730063M14Rik	9	2	1	2	1	2
Agap2	0	1	0	1	1	0
Os9	116	74	30	47	43	37
B4galnt1	36	22	12	14	13	14
Slc26a10	27	18	12	14	15	15
Arhgef25	102	69	35	42	57	34
Dtx3	83	74	47	41	43	45
F420014N23Rik	1	0	0	0	1	0
Pip4k2c	270	186	87	116	104	97
Kif5a	109	74	47	32	32	33
Dctn2	1011	689	350	300	409	404
Mbd6	119	60	40	30	40	38
Ddit3	216	126	110	96	72	83
Mars	783	490	237	227	265	286
Arhgap9	29	20	8	8	19	9
Gli1	44	28	14	21	21	24
Inhbe	3	0	2	0	1	0
R3hdm2	330	171	121	106	112	144
Stac3	4	8	4	4	3	0
Ndufa4l2	271	195	127	144	140	139
Shmt2	494	359	186	179	214	190
Nxph4	6	6	2	2	1	7
Lrp1	70	37	25	35	26	33
Stat6	130	90	37	43	66	51
Nab2	163	54	23	40	29	31
Nemp1	90	65	44	35	39	51
Gm16230	0	0	0	3	2	0
Myo1a	7	3	1	0	0	0
Tac2	2	0	1	0	2	0
Zbtb39	20	16	17	10	8	9
Gpr182	0	0	0	0	1	0
Prim1	804	554	264	266	313	291
Naca	19164	12565	5900	6249	7200	7001
Ptges3	7015	4454	2252	2150	2375	2507
Gm47438	33	21	16	19	19	10
Atp5b	10224	7155	3643	3746	4445	4406
Baz2a	1373	903	487	514	503	552
Rbms2	492	357	127	152	160	174
Gls2	170	129	60	62	80	73
Spryd4	171	117	57	69	72	78
Mip	18	5	7	4	8	4
Gm26847	21	8	4	5	3	11
Timeless	668	449	190	172	236	259
Stat2	69	44	20	22	25	23
Il23a	17	17	3	7	9	9
Pan2	168	107	53	40	54	67
Cnpy2	1912	1134	563	603	683	649
Cs	739	430	228	246	297	267
Coq10a	93	73	26	31	46	42
Ankrd52	31	24	14	18	12	15
Slc39a5	3	4	0	2	1	1
Nabp2	450	262	139	157	182	187
Rnf41	156	94	48	32	42	63
Smarcc2	82	55	27	31	36	36
Myl6	3673	2212	1256	1329	1514	1432
Myl6b	4	3	0	1	0	1
A430046D13Rik	6	4	1	2	2	5
Esyt1	98	60	24	24	26	21
Zc3h10	113	116	41	46	61	63
Rpl41	24689	20011	11423	12547	12890	12020
Pa2g4	3281	2104	1111	1171	1312	1362
Erbb3	122	77	37	45	54	65
Rps26	23921	18565	10945	11940	12356	11761
Ikzf4	11	13	2	4	6	6
Gm26876	0	0	0	0	0	0
Suox	6	3	8	4	2	2
Rab5b	129	97	50	50	49	56
Cdk2	168	92	48	67	69	76
Pmel	13	5	6	7	3	7
Dgka	50	40	26	18	22	20
Pym1	186	98	58	62	77	76
Gm47093	0	0	0	0	0	2
Mmp19	0	2	0	1	2	2
Tmem198b	24	20	13	11	10	8
Dnajc14	129	81	40	34	45	48
Sarnp	723	562	309	284	397	343
Ormdl2	980	539	275	297	321	330
Gdf11	15	9	3	6	4	5
Cd63	2536	1602	865	887	1024	1034
Rdh5	7	5	2	0	0	2
Bloc1s1	44	10	3	4	6	5
Itga7	11	3	2	2	4	0
Mettl7b	1	1	0	0	0	1
Neurod4	0	1	0	0	0	0
Tespa1	0	2	1	0	0	0
Gm31793	3	1	0	0	2	0
Insr	48	40	14	23	12	18
Arhgef18	213	161	77	85	73	75
Pex11g	25	18	9	9	12	14
Tex45	1	2	0	0	3	0
Zfp358	38	20	12	9	11	19
Mcoln1	58	38	28	34	28	29
Pnpla6	119	88	51	59	45	69
C330021F23Rik	136	83	44	40	50	52
Camsap3	202	134	61	72	74	91
Xab2	318	160	103	85	95	118
Pet100	198	165	95	98	142	113
Pcp2	9	9	8	4	3	7
Stxbp2	245	149	69	89	101	112
Retn	9	13	5	6	3	1
Fcor	50	47	24	30	27	22
Gm39121	0	1	3	0	0	0
Trappc5	616	409	183	202	264	237
Clec4g	0	0	0	0	0	3
Evi5l	17	10	7	8	8	10
Prr36	13	8	3	3	4	6
Lrrc8e	4	0	0	0	3	0
Map2k7	164	112	49	53	49	64
Snapc2	193	144	78	66	69	78
Ctxn1	159	101	65	59	58	54
Timm44	433	307	149	143	170	179
Elavl1	896	555	275	264	318	281
Ccl25	102	71	41	31	42	48
Cers4	250	148	84	58	86	67
Zfp958	126	107	39	38	52	55
Shcbp1	339	223	112	108	136	115
Efnb2	133	78	50	62	35	43
X4921522P10Rik	0	1	1	0	0	0
Arglu1	1942	1189	708	736	805	850
Fam155a	0	1	1	0	0	2
Lig4	60	61	24	24	27	23
Abhd13	96	56	30	24	35	26
Tnfsf13b	6	1	1	1	0	2
Myo16	0	2	1	0	0	0
Gm2814	1	0	0	1	0	0
X3930402G23Rik	8	8	8	5	3	5
Gm44956	0	0	0	0	0	0
Irs2	94	51	49	38	31	28
Col4a1	158	117	90	97	129	173
Col4a2	118	81	70	40	80	91
Rab20	71	39	15	25	24	25
Naxd	367	206	131	139	113	141
Cars2	147	113	41	65	60	54
Ing1	962	609	384	342	365	358
Ankrd10	741	452	216	252	281	276
X1700016D06Rik	10	6	3	2	3	3
Arhgef7	136	98	55	52	48	58
Sox1	2	3	1	1	0	4
X4933439N14Rik	1	0	0	0	1	0
Tubgcp3	149	81	41	47	47	53
Atp11a	85	59	19	26	38	43
Mcf2l	24	21	9	9	7	10
F7	0	0	0	0	0	1
F10	1	2	1	1	0	0
Proz	1	0	1	0	0	1
Pcid2	271	163	78	93	105	81
Cul4a	223	135	66	61	68	86
Lamp1	1927	1203	588	616	791	688
Grtp1	187	141	57	79	75	66
Dcun1d2	35	13	7	15	9	14
Tmco3	80	42	24	24	14	20
Tfdp1	438	309	148	114	155	182
Gas6	39	30	18	9	13	18
Gm5608	2	0	0	0	0	1
Rasa3	23	19	11	7	7	10
X4932443I19Rik	2	0	0	0	0	0
Cdc16	408	264	126	143	129	135
Upf3a	669	427	257	224	224	204
Champ1	307	192	103	95	93	102
Coprs	747	428	224	234	269	247
Fbxo25	85	65	32	30	25	38
Tdrp	206	144	71	74	96	88
Erich1	277	228	125	116	135	112
Dlgap2	0	1	0	1	0	0
Cln8	109	79	35	44	53	49
Arhgef10	15	8	10	6	4	9
Kbtbd11	10	8	2	6	5	2
Myom2	2	0	1	1	0	0
Mcph1	302	223	120	111	111	104
Angpt2	16	11	3	2	3	4
Agpat5	701	475	247	259	276	287
Gm35934	1	0	0	0	0	0
Xkr5	27	19	10	8	3	6
Gm26853	125	89	59	49	36	31
Gm26804	4	5	0	1	0	0
Defb1	0	1	0	0	1	3
Atp7b	20	13	5	8	7	4
Alg11	145	97	53	43	51	60
Nek5	5	5	2	2	3	3
Nek3	67	41	26	12	21	23
Ckap2	630	421	180	204	219	227
Vps36	1049	680	355	333	399	393
Thsd1	14	8	2	4	5	4
Slc25a15	121	66	31	50	55	43
Mrps31	978	600	270	285	323	332
Smim19	95	70	34	44	35	34
Slc20a2	139	111	50	60	66	48
Vdac3	2398	1635	665	708	851	839
Polb	359	220	108	129	102	108
Gm26909	5	4	1	4	3	3
Ikbkb	126	86	40	45	42	46
Plat	38	21	3	8	5	6
Ap3m2	98	54	25	30	44	43
X1700041G16Rik	8	3	4	4	3	4
Kat6a	330	244	115	118	126	139
Ank1	1	1	1	0	0	0
Gpat4	144	94	49	53	60	61
Gins4	786	509	240	261	308	279
Golga7	558	366	173	171	175	178
Sfrp1	431	299	197	230	164	175
Zmat4	15	8	5	5	2	6
Gm26714	0	0	1	0	0	1
Tcim	34	35	14	8	21	18
Adam32	11	15	4	11	10	5
Adam9	81	54	16	17	21	23
Tm2d2	439	278	113	138	156	159
Plekha2	214	141	59	64	76	87
Tacc1	410	251	142	153	175	154
Fgfr1	285	160	103	83	90	112
Letm2	33	25	7	15	8	19
D830025C05Rik	6	13	7	1	3	3
Nsd3	275	175	73	87	88	97
Plpp5	55	42	28	27	23	31
Ddhd2	533	392	201	197	211	240
Gm17484	4	5	1	0	2	1
Bag4	601	359	203	200	245	210
Lsm1	999	597	265	261	330	335
Star	31	17	11	15	17	11
Ash2l	2319	1636	778	864	951	897
Kcnu1	9	10	4	6	11	5
Hgsnat	140	95	41	48	51	51
Pomk	20	17	10	5	11	13
Fnta	1242	834	372	378	433	430
Hook3	407	272	140	121	168	166
Gm45411	0	0	1	0	0	0
Rnf170	168	95	39	48	52	37
Gm45250	32	30	14	15	6	8
Thap1	272	191	96	104	111	96
Zfp703	40	30	12	14	9	9
Erlin2	185	128	68	62	72	66
Proscos	2	5	1	1	0	0
Plpbp	264	208	97	89	117	125
Adgra2	6	3	3	2	0	6
Brf2	164	106	63	60	74	69
Rab11fip1	167	127	69	47	68	60
Got1l1	132	82	30	36	49	53
Adrb3	216	156	65	62	76	87
Gm45470	4	4	8	4	3	6
Eif4ebp1	7516	4587	2267	2396	2899	2762
Unc5d	1	1	0	0	0	0
Dusp26	9	8	1	2	4	5
Rnf122	42	42	17	15	11	13
Tti2	123	61	42	36	42	27
Mak16	1628	1196	565	533	659	649
Fut10	16	11	3	3	4	5
Nrg1	40	10	13	8	6	7
Gm26578	0	1	1	0	0	0
Wrn	144	102	50	42	47	48
Purg	65	47	26	25	22	28
Tex15	540	293	174	183	152	183
Ppp2cb	441	235	142	133	145	141
Ubxn8	167	105	38	43	49	51
Gsr	1051	663	317	322	332	358
Gtf2e2	1389	925	444	441	518	440
Smim18	1	1	0	0	0	2
Rbpms	2743	1737	906	914	980	1028
Gm26632	91	78	44	38	33	49
Gm39157	0	0	1	0	0	1
Dctn6	260	150	75	78	108	99
Gm10131	14	7	4	7	6	3
Leprotl1	599	391	167	160	198	194
Saraf	392	299	145	114	173	183
Dusp4	193	100	58	55	67	70
Tnks	420	263	136	136	145	152
Ppp1r3b	7	5	1	1	3	0
Eri1	621	322	197	222	170	185
Mfhas1	40	22	6	12	9	8
Cldn23	2	4	0	0	2	2
Prag1	33	26	21	16	23	18
Gm38414	4	6	4	2	8	2
X4933430A20Rik	0	0	1	0	0	0
Lonrf1	149	106	66	58	50	47
X6430573F11Rik	19	8	7	7	9	6
Dlc1	670	465	285	299	245	252
AI429214	1	1	0	1	0	0
Sgcz	1	0	0	0	0	0
Tusc3	511	289	131	127	167	155
Micu3	117	85	50	33	27	47
Zdhhc2	133	81	31	29	36	40
Cnot7	441	313	129	138	134	141
Vps37a	316	220	106	104	100	108
Mtmr7	450	268	155	159	162	167
Slc7a2	34	25	9	10	14	10
Pdgfrl	22	12	10	10	5	9
Mtus1	68	45	26	35	29	30
B430010I23Rik	11	7	11	5	2	11
Gm16192	1	1	0	0	1	0
Fgl1	17	10	6	3	5	5
Pcm1	1374	988	519	528	540	539
Asah1	688	501	206	200	250	258
Frg1	868	560	283	291	362	322
Triml1	189	145	71	70	66	84
Triml2	195	130	58	68	83	73
Zfp42	781	648	313	302	355	386
Fat1	390	241	121	121	112	130
Gm2366	2	2	4	0	1	0
AY512931	3	1	2	2	0	3
Gm6329	5	4	4	1	2	2
Klkb1	0	0	1	0	0	0
Cyp4v3	5	3	1	0	0	0
Fam149a	5	6	4	1	0	2
Tlr3	6	6	0	2	3	2
Sorbs2	5	3	5	1	0	2
Pdlim3	31	15	7	8	11	5
X1700029J07Rik	27	19	6	9	9	8
Ufsp2	252	181	103	107	114	103
Ankrd37	911	610	233	247	331	304
Lrp2bp	5	0	2	0	2	2
Snx25	19	21	5	6	13	8
Cfap97	210	152	77	85	82	87
Slc25a4	5145	3102	1767	1805	2236	2076
Acsl1	193	144	66	56	63	70
Cenpu	422	237	137	120	150	168
Primpol	73	44	21	20	28	23
Casp3	447	278	164	163	171	156
Irf2	14	18	1	2	4	6
Stox2	101	68	22	53	36	36
Trappc11	225	157	90	65	88	85
Rwdd4a	512	282	147	165	172	161
Ing2	666	406	184	218	252	236
Cdkn2aip	505	314	148	162	152	172
E030037K01Rik	2	2	0	0	2	2
Wwc2	457	286	136	182	169	174
Dctd	316	225	93	90	127	97
Tenm3	124	101	37	37	25	38
C130073E24Rik	1	1	0	0	0	0
Aga	356	205	99	114	119	134
Neil3	55	48	15	23	26	18
Vegfc	23	25	4	10	6	16
Spcs3	299	214	109	105	137	141
Wdr17	3	3	0	1	1	0
Gpm6a	6	7	1	2	0	3
Hpgd	33	21	10	15	10	14
Cep44	358	261	113	98	147	119
Fbxo8	172	91	43	63	57	55
Hand2	2	1	0	5	0	4
Gm34030	0	0	0	0	2	0
X5033428I22Rik	2	2	1	0	0	1
Scrg1	0	0	0	0	0	0
Sap30	1291	795	394	433	497	460
Hmgb2	15659	9987	5258	5848	6287	6097
Galnt7	240	170	64	59	92	100
Galntl6	0	1	0	0	0	0
BC030500	2	0	1	0	0	0
Aadat	0	0	0	0	0	0
Mfap3l	5	4	4	0	2	3
Hpf1	1425	926	435	520	515	475
Clcn3	761	610	284	277	295	299
B230317F23Rik	6	3	3	6	2	1
Nek1	208	143	66	69	64	59
Sh3rf1	48	27	18	20	14	21
Cbr4	187	127	55	65	71	89
Palld	396	251	136	148	142	156
X4930512H18Rik	0	0	0	0	0	0
Ddx60	31	33	22	19	26	20
Spock3	0	1	1	0	1	1
Sgo2b	35	31	21	18	13	24
Tll1	4	0	2	0	0	1
Cpe	23	11	5	3	9	7
Gm45518	0	0	0	2	0	4
Msmo1	729	532	209	196	237	247
Klhl2	135	85	37	39	49	61
Gm45345	2	0	0	0	0	0
Tmem192	603	391	203	237	236	232
Apela	582	336	212	211	181	221
BC030870	5	3	1	0	1	0
March1	1	1	0	0	2	2
Tma16	1101	751	335	357	420	411
Tktl2	7	3	11	3	0	0
Npy1r	0	0	0	0	0	2
Naf1	658	378	221	218	236	231
Nat1	3	6	4	3	3	2
Nat2	11	12	4	3	4	3
Psd3	13	9	5	1	6	3
Gm15991	3	1	1	0	0	0
Sh2d4a	6	4	2	0	4	6
Csgalnact1	0	1	0	1	2	0
Ints10	394	268	107	130	121	128
Lpl	43	27	14	8	12	10
Slc18a1	3	4	1	5	2	1
Atp6v1b2	573	355	183	189	189	180
Lzts1	7	4	0	1	1	0
Zfp930	79	52	35	30	34	34
D130040H23Rik	38	24	23	7	22	13
Zfp868	57	48	18	21	19	21
Zfp964	3	2	3	1	3	4
Zfp869	55	29	15	15	14	20
Zfp963	8	4	6	4	3	2
Zfp866	34	30	23	18	10	14
Atp13a1	163	81	50	63	58	59
Gmip	16	21	7	4	11	4
Lpar2	20	18	10	5	7	11
Pbx4	140	78	39	43	41	40
Cilp2	52	30	12	12	14	12
Yjefn3	34	25	14	13	17	20
Ndufa13	2932	2198	1167	1299	1490	1359
Tssk6	2	1	0	0	2	1
Gatad2a	915	704	334	365	354	406
Mau2	297	169	92	98	96	99
Sugp1	198	120	60	51	66	77
Tm6sf2	5	2	0	0	2	1
Hapln4	19	8	6	3	4	5
Ncan	12	8	3	4	5	1
Rfxank	65	44	17	17	33	29
Nr2c2ap	743	409	236	245	259	277
Borcs8	196	127	57	65	72	68
Mef2b	48	29	11	15	30	14
Tmem161a	114	88	39	46	50	41
Slc25a42	13	7	5	7	6	1
Armc6	67	52	34	33	38	33
Sugp2	168	121	53	65	55	72
Homer3	251	198	102	94	108	109
Ddx49	520	326	176	181	207	180
Cope	1034	710	402	390	503	465
Cers1	1	2	0	0	0	0
Upf1	650	433	217	252	245	249
Comp	4	0	3	1	1	4
Crtc1	19	21	8	7	13	12
Klhl26	15	18	8	7	8	13
Tmem59l	17	12	5	6	6	1
Crlf1	36	31	13	24	14	12
Rex1bd	1175	727	348	367	460	410
Uba52	399	188	99	93	70	93
Kxd1	1064	653	316	310	373	328
Fkbp8	749	474	242	252	270	288
Ell	92	53	31	35	31	35
Isyna1	688	461	201	212	248	254
Ssbp4	431	283	154	147	175	163
Lrrc25	0	0	1	0	0	0
Gdf15	17	16	4	7	10	16
Pgpep1	104	77	25	35	39	35
Lsm4	4367	2628	1224	1345	1444	1397
Jund	2072	1368	549	667	754	724
Gm16486	10	0	2	1	1	0
Gm3336	19	13	7	12	9	3
Pde4c	4	2	1	1	2	2
Rab3a	51	29	14	9	24	31
Mpv17l2	205	158	67	65	93	81
Pik3r2	110	64	27	35	35	39
X2010320M18Rik	133	92	47	41	50	52
Mast3	47	39	19	27	29	23
Arrdc2	20	17	9	16	14	13
Kcnn1	13	6	3	3	2	5
Ccdc124	843	509	320	309	367	337
Slc5a5	15	10	8	4	1	7
Rpl18a	44344	31551	16004	16935	19184	18944
Map1s	275	182	104	111	120	121
Gm35256	10	7	3	4	6	9
Haus8	182	128	74	84	74	92
Myo9b	159	101	56	45	53	52
Use1	1219	765	415	451	480	491
Ocel1	42	32	20	18	23	20
Nr2f6	284	176	61	84	82	91
Ushbp1	12	7	6	5	5	8
Babam1	388	252	105	154	152	164
Ankle1	47	24	12	13	12	9
Abhd8	73	48	22	26	39	21
Mrpl34	1885	1068	506	579	613	605
Dda1	706	452	223	230	302	235
Ano8	22	17	5	4	11	10
Gtpbp3	97	57	29	25	33	21
Plvap	38	21	8	8	17	11
C430049E01Rik	2	3	0	4	1	0
Bst2	1609	988	666	674	732	717
Mvb12a	573	362	211	190	207	209
Tmem221	1	1	0	0	0	0
Slc27a1	49	28	16	23	12	24
Pgls	1233	788	402	421	491	470
Fam129c	6	8	2	5	4	7
Colgalt1	495	334	194	198	232	191
Unc13a	37	21	13	14	11	11
Jak3	25	10	8	7	14	18
B3gnt3	3	1	4	1	1	0
Fcho1	33	29	8	6	5	10
Zfp709	20	12	8	6	5	5
Zfp882	21	9	10	7	5	10
Zfp617	70	56	25	24	37	33
Zfp961	203	120	82	90	64	63
Tpm4	563	336	182	173	189	197
Gm26586	3	2	1	0	2	2
Rab8a	517	394	194	164	212	211
Hsh2d	7	6	4	7	5	5
Fam32a	635	409	225	212	285	256
Ap1m1	239	193	77	96	94	116
Gm10282	41	26	9	17	11	14
Klf2	7689	5294	2366	2446	2651	2594
Eps15l1	274	162	96	87	106	119
Calr3	17	21	3	9	7	7
X1700030K09Rik	35	36	11	12	14	21
Cherp	578	384	190	198	200	198
Slc35e1	81	64	36	30	28	38
Gm17435	27	21	12	12	7	8
Med26	198	140	46	65	56	62
Smim7	466	300	163	159	209	181
Tmem38a	65	46	19	30	34	28
Nwd1	0	4	3	3	2	1
Sin3b	3018	1814	934	979	1139	1102
F2rl3	3	0	0	0	0	0
Large1	66	36	16	19	27	29
Isx	0	0	0	0	0	0
Hmgxb4	583	385	212	184	230	217
Tom1	156	112	39	50	66	48
Hmox1	1001	405	252	222	238	238
Mcm5	1276	906	452	449	555	524
Rasd2	20	7	4	5	5	10
Nr3c2	3	1	1	0	0	2
Arhgap10	213	134	57	67	77	68
X0610038B21Rik	6	3	2	0	4	3
Prmt9	150	110	54	60	60	60
Tmem184c	161	117	57	69	64	62
Ednra	3	0	0	0	1	1
Ttc29	6	7	3	0	4	7
Pou4f2	10	5	1	0	0	1
Rbmxl1	573	358	183	188	262	234
Slc10a7	72	57	34	28	37	34
Lsm6	1595	945	528	517	588	546
Zfp827	28	12	10	6	4	12
Mmaa	30	24	9	12	10	12
Smad1	148	109	42	44	61	41
Gm45601	0	0	1	0	0	0
Otud4	658	398	204	243	227	233
Abce1	1722	1120	573	516	562	580
Anapc10	830	474	277	279	328	348
Hhip	62	40	27	28	22	17
Gypa	1	1	0	1	1	2
Frem3	0	0	0	1	0	0
Smarca5	5121	3290	1635	1686	1746	1726
Gab1	455	238	138	165	130	170
Gm31105	1	0	0	0	1	0
Usp38	224	135	90	80	101	83
Gm9725	0	2	0	0	0	0
Inpp4b	0	1	0	0	1	0
Il15	2	1	1	1	4	0
Zfp330	896	563	283	311	312	319
Rnf150	1	3	0	1	1	1
Tbc1d9	132	81	52	28	23	44
Ucp1	2	2	0	0	0	2
Elmod2	38	24	12	17	9	14
Clgn	71	54	29	16	21	36
Scoc	390	235	120	128	136	174
Ndufb7	2805	1939	1019	1069	1261	1165
Tecr	2012	1413	626	676	864	822
D830024N08Rik	6	4	2	2	2	3
Dnajb1	534	350	178	171	196	184
Gipc1	707	425	197	195	269	201
Pkn1	170	121	72	52	65	56
Ptger1	5	0	1	1	0	2
Ddx39	2751	1628	825	911	1072	1016
Adgre5	77	74	34	46	46	31
Gm26721	0	3	0	0	1	0
Adgrl1	170	119	61	58	69	69
Gm10644	2	0	3	1	1	1
Asf1b	247	134	69	94	108	95
Prkaca	106	72	36	37	49	42
Samd1	277	135	139	135	133	129
X1700067K01Rik	12	8	4	4	5	5
X2210011C24Rik	157	101	40	57	50	53
Palm3	258	197	110	107	136	114
Rln3	1	1	1	0	0	0
Gm10643	5	2	1	5	4	4
C330011M18Rik	7	9	5	3	1	3
Rfx1	71	59	32	26	27	26
Dcaf15	161	139	66	73	64	63
Cc2d1a	60	34	19	22	33	29
X4930432K21Rik	47	49	19	16	20	20
Nanos3	90	69	28	20	26	33
Gm26532	32	10	15	14	16	10
Zswim4	48	31	15	18	20	13
D8Ertd738e	2414	1515	800	845	947	909
Mri1	620	451	239	230	293	290
Ccdc130	98	64	25	28	33	33
Cacna1a	270	192	88	88	91	84
Gm16183	3	1	1	4	2	1
Ier2	1679	1158	463	439	647	705
Gm26664	7	13	3	2	2	3
Nacc1	323	219	95	120	114	105
Trmt1	518	342	168	216	205	219
Nfix	56	43	17	19	19	23
Lyl1	1	2	0	1	1	0
G430095P16Rik	11	8	6	7	6	5
Dand5	23	18	11	6	11	14
Gadd45gip1	2374	1480	732	727	857	867
Rad23a	583	370	171	194	200	177
Calr	4387	2828	1620	1645	1884	1822
Farsa	668	411	221	247	273	273
Syce2	1946	1250	569	594	700	679
Gcdh	281	163	81	84	120	101
Klf1	9	5	2	3	4	4
Dnase2a	498	346	183	176	198	231
Mast1	28	27	4	8	12	11
Rnaseh2a	711	500	217	217	252	276
Prdx2	3792	2302	1100	1231	1396	1403
Junb	410	187	91	111	159	114
Hook2	203	124	73	54	63	87
Best2	7	2	0	0	2	2
Asna1	899	597	345	380	385	372
Trir	1598	1083	489	501	609	634
Tnpo2	165	102	74	93	56	80
Fbxw9	213	131	73	80	95	93
Dhps	613	399	226	209	225	239
Wdr83	247	137	75	89	94	76
Wdr83os	474	334	143	149	186	148
Man2b1	257	164	88	91	100	80
Zfp791	7	4	1	2	4	2
Cks1brt	2	1	0	0	1	0
Vps35	1600	1091	512	528	480	551
Orc6	2019	1230	616	619	698	655
Mylk3	2	3	1	0	0	3
X4921524J17Rik	984	712	345	298	378	395
Gpt2	152	115	61	48	70	58
Dnaja2	2990	1789	796	921	902	961
Neto2	61	39	18	17	18	16
Itfg1	156	97	53	48	43	57
Gm39214	0	2	2	0	0	2
Phkb	58	60	30	31	34	23
Lonp2	240	175	88	72	93	110
Siah1a	229	170	64	68	94	91
Gm10638	3	3	4	0	3	2
N4bp1	800	512	279	312	288	313
X2010110E17Rik	1	0	1	0	0	0
Gm2694	285	222	137	119	139	133
Cbln1	17	14	3	12	10	9
Zfp423	19	21	5	10	9	18
Cnep1r1	240	170	84	82	92	80
Heatr3	389	253	126	117	119	135
X9430002A10Rik	7	2	0	3	0	3
Papd5	327	202	100	99	116	117
Adcy7	10	5	3	0	0	3
Brd7	717	521	263	275	241	258
Nkd1	23	19	8	9	13	7
Snx20	25	15	7	6	7	7
Cyld	118	90	39	39	23	39
Sall1	193	128	64	65	47	65
Tox3	50	32	19	13	12	19
Chd9	335	211	134	114	90	127
Rbl2	39	26	15	18	18	16
Aktip	245	119	61	69	82	89
Rpgrip1l	78	62	26	25	28	29
Fto	191	137	63	69	61	85
X4831440D22Rik	2	0	1	2	2	2
Irx3	20	16	8	8	10	11
Irx3os	1	2	0	0	1	0
Irx5	36	19	10	5	10	8
Mmp2	42	24	12	11	13	13
Lpcat2	15	11	9	4	9	6
Slc6a2	0	1	0	0	0	0
Ces1d	0	0	0	0	0	0
Ces1e	0	0	1	0	0	0
Gnao1	12	5	2	9	5	6
Amfr	102	58	27	32	36	40
Nudt21	2662	1587	760	751	823	830
Ogfod1	80	62	24	37	23	31
Bbs2	31	26	14	11	7	15
Mt4	122	105	116	129	122	97
Mt3	63	55	35	31	33	37
Gm45774	82	35	16	14	15	13
Mt2	5344	4176	3049	3444	2999	2761
Mt1	12123	9005	5967	6658	5514	5037
Gm39228	2	0	3	2	0	0
Nup93	466	323	133	151	169	156
C78859	11	12	3	3	2	2
Slc12a3	16	12	10	5	5	5
Herpud1	155	94	61	72	64	79
Cpne2	23	10	3	6	9	10
Fam192a	546	351	172	203	208	206
Rspry1	226	144	75	64	83	84
Arl2bp	199	123	58	38	89	81
Pllp	4	3	3	0	2	2
Gm45767	2	5	4	1	2	2
Cx3cl1	10	4	2	0	5	3
Ccl17	0	0	0	0	0	0
Ciapin1	1140	737	381	360	450	434
Coq9	232	186	68	71	87	101
Polr2c	2215	1462	754	705	812	780
Dok4	18	7	5	2	9	9
Ccdc102a	44	18	14	7	8	8
Adgrg1	10	12	4	10	5	6
Adgrg3	0	0	0	0	0	0
Drc7	4	2	1	2	1	2
Katnb1	173	107	55	71	70	53
Kifc3	34	33	11	19	13	18
Cngb1	4	9	4	3	2	3
Tepp	5	10	5	4	0	6
Zfp319	18	16	7	7	13	4
Usb1	90	81	25	28	40	28
Mmp15	34	29	12	10	13	10
Cfap20	1155	726	333	376	379	413
Csnk2a2	2028	1314	609	595	725	723
Ccdc113	59	38	26	21	30	27
Gins3	78	51	24	22	30	21
Ndrg4	20	22	10	8	8	7
Setd6	328	232	127	117	138	140
Cnot1	1184	914	440	443	475	491
X4930513N10Rik	29	17	7	12	6	6
Gm31659	73	78	32	40	47	28
Sap18b	108	77	29	29	32	33
Gm31805	4	6	1	2	4	4
Slc38a7	50	41	17	23	29	19
Got2	1112	760	332	351	350	378
Cdh8	2	1	0	3	0	0
A330008L17Rik	1	0	1	0	0	0
Cdh11	29	12	10	10	9	16
Cdh5	1	2	1	1	3	3
Bean1	0	2	0	0	0	0
Tk2	31	35	16	15	14	23
Cklf	180	115	63	57	70	73
Cmtm3	34	21	9	12	18	12
Cmtm4	222	159	97	69	93	84
Dync1li2	219	164	79	84	92	108
K230015D01Rik	3	5	3	0	4	2
Terb1	12	12	3	0	3	6
Nae1	880	624	272	282	288	310
Car7	4	3	2	0	2	2
Pdp2	78	65	30	21	29	48
Rrad	64	23	6	4	14	10
Gm33023	2	0	0	1	0	1
Fam96b	1310	767	369	371	436	455
Ces2g	0	0	0	0	1	0
Cbfb	226	130	78	79	88	93
D230025D16Rik	319	235	101	108	102	132
B3gnt9	6	7	5	4	5	3
Tradd	78	47	15	22	29	22
Fbxl8	13	9	5	3	7	2
Hsf4	3	0	1	1	1	1
Nol3	29	23	9	7	9	17
X4931428F04Rik	58	46	10	27	19	21
Gm20163	4	2	3	0	1	2
Exoc3l	31	12	4	8	11	8
E2f4	490	310	190	151	188	179
Elmo3	13	7	0	2	6	2
Lrrc29	4	3	0	2	3	0
Tmem208	528	305	142	158	206	184
Fhod1	46	33	21	17	14	13
Slc9a5	27	15	8	7	6	5
Plekhg4	17	5	2	1	3	2
Kctd19	8	0	1	3	2	3
Lrrc36	4	2	1	0	1	1
Tppp3	71	47	27	35	36	34
Zdhhc1	9	9	4	1	7	4
Hsd11b2	20	7	3	11	2	4
Atp6v0d1	606	431	208	235	251	224
Agrp	12	9	6	6	1	9
Ripor1	67	50	24	23	26	30
Gm5914	19	12	11	12	7	12
Ctcf	2184	1531	730	717	829	788
Carmil2	15	5	5	7	9	1
