tile_name	marked_duplicates
Bend5_chr4_8201__Camelus_dromedarius_20240416.fa__KN271424.1:1782096-1782326()_RC	['Bend5_chr4_8201__fullTreeAnc152_20240416.fa__fullTreeAnc152refChr1934:3236055-3236285()_RC', 'Bend5_chr4_8201__fullTreeAnc153_20240416.fa__fullTreeAnc153refChr1360:4721995-4722225()']
Bend5_chr4_8201__Balaenoptera_bonaerensis_20240416.fa__DF569869.1:3399-3629()_RC	['Bend5_chr4_8201__fullTreeAnc154_20240416.fa__fullTreeAnc154refChr3383:459023-459253()', 'Bend5_chr4_8201__fullTreeAnc155_20240416.fa__fullTreeAnc155refChr7690:1369304-1369534()_RC']
Bend5_chr4_8201__fullTreeAnc162_20240416.fa__fullTreeAnc162refChr460:1353062-1353292()_RC	['Bend5_chr4_8201__fullTreeAnc164_20240416.fa__fullTreeAnc164refChr2596:1266248-1266478()_RC']
Bend5_chr4_8201__fullTreeAnc159_20240416.fa__fullTreeAnc159refChr7993:122938-123168()	['Bend5_chr4_8201__fullTreeAnc165_20240416.fa__fullTreeAnc165refChr2791:1256385-1256615()_RC']
Bend5_chr4_8201__fullTreeAnc158_20240416.fa__fullTreeAnc158refChr14541:120709-120939()	['Bend5_chr4_8201__fullTreeAnc166_20240416.fa__fullTreeAnc166refChr4793:372696-372926()', 'Bend5_chr4_8201__fullTreeAnc168_20240416.fa__fullTreeAnc168refChr4366:364063-364293()']
Bend5_chr4_8201__Bison_bison_20240416.fa__KN264748.1:1805056-1805295()_RC	['Bend5_chr4_8201__fullTreeAnc171_20240416.fa__fullTreeAnc171refChr1966:748793-749032()', 'Bend5_chr4_8201__fullTreeAnc172_20240416.fa__fullTreeAnc172refChr6597:587769-588008()_RC']
Bend5_chr4_8201__fullTreeAnc175_20240416.fa__fullTreeAnc175refChr6447:234889-235128()_RC	['Bend5_chr4_8201__fullTreeAnc176_20240416.fa__fullTreeAnc176refChr5072:1368171-1368410()_RC', 'Bend5_chr4_8201__fullTreeAnc177_20240416.fa__fullTreeAnc177refChr2233:918374-918613()_RC', 'Bend5_chr4_8201__fullTreeAnc178_20240416.fa__fullTreeAnc178refChr2929:1648213-1648452()_RC', 'Bend5_chr4_8201__Ovis_aries_20240416.fa__CM001582.2:22960487-22960726()_RC', 'Bend5_chr4_8201__Ovis_canadensis_20240416.fa__OviCan_scaffold_2695:8668-8907()_RC']
Bend5_chr4_8201__fullTreeAnc173_20240416.fa__fullTreeAnc173refChr7888:1286413-1286652()	['Bend5_chr4_8201__fullTreeAnc182_20240416.fa__fullTreeAnc182refChr3955:447380-447619()_RC']
Bend5_chr4_8201__fullTreeAnc186_20240416.fa__fullTreeAnc186refChr8691:123563-123814()_RC	['Bend5_chr4_8201__fullTreeAnc189_20240416.fa__fullTreeAnc189refChr3291:1272257-1272508()_RC']
Bend5_chr4_8201__fullTreeAnc193_20240416.fa__fullTreeAnc193refChr6123:111061-111236()	['Bend5_chr4_8201__fullTreeAnc194_20240416.fa__fullTreeAnc194refChr6802:345187-345362()_RC']
Bend5_chr4_8201__Equus_asinus_20240416.fa__JREZ01000229.1:1757105-1757329()	['Bend5_chr4_8201__fullTreeAnc227_20240416.fa__fullTreeAnc227refChr1518:961083-961307()']
Bend5_chr4_8201__Diceros_bicornis_20240416.fa__DicBicMic_scaffold_5099:23311-23542()_RC	['Bend5_chr4_8201__fullTreeAnc230_20240416.fa__fullTreeAnc230refChr12518:872218-872449()']
Bend5_chr4_8201__Dicerorhinus_sumatrensis_20240416.fa__PEKH010009042.1:579524-579755()	['Bend5_chr4_8201__fullTreeAnc231_20240416.fa__fullTreeAnc231refChr7945:486429-486660()']
Bend5_chr4_8201__fullTreeAnc235_20240416.fa__fullTreeAnc235refChr1302:657969-658147()	['Bend5_chr4_8201__fullTreeAnc236_20240416.fa__fullTreeAnc236refChr7174:1207750-1207928()_RC']
Bend5_chr4_8201__Dipodomys_stephensi_20240416.fa__DipSte_scaffold_34420:3379-3672()_RC	['Bend5_chr4_8201__fullTreeAnc56_20240416.fa__fullTreeAnc56refChr15742:468131-468424()']
Bend5_chr4_8201__fullTreeAnc34_20240416.fa__fullTreeAnc34refChr7121:407676-407986()	['Bend5_chr4_8201__fullTreeAnc67_20240416.fa__fullTreeAnc67refChr2716:20841-21151()_RC', 'Bend5_chr4_8201__fullTreeAnc68_20240416.fa__fullTreeAnc68refChr7042:115235-115545()']
Bend5_chr4_8201__fullTreeAnc73_20240416.fa__fullTreeAnc73refChr8751:1147544-1147846()_RC	['Bend5_chr4_8201__fullTreeAnc74_20240416.fa__fullTreeAnc74refChr8268:1155213-1155515()_RC']
Bend5_chr4_8201__fullTreeAnc7_20240416.fa__fullTreeAnc7refChr10652:331737-331969()_RC	['Bend5_chr4_8201__fullTreeAnc8_20240416.fa__fullTreeAnc8refChr11069:143928-144160()_RC']
Bend5_chr4_8201__fullTreeAnc60_20240416.fa__fullTreeAnc60refChr19647:418989-419287()_RC	['Bend5_chr4_8201__Marmota_marmota_20240416.fa__CZRN01000016.1:16628449-16628747()']
Bend5_chr4_8201__fullTreeAnc161_20240416.fa__fullTreeAnc161refChr5835:1334571-1334801()_RC	['Bend5_chr4_8201__Monodon_monoceros_20240416.fa__MonMon_M_scaffold_5640:46392-46622()_RC']
Bend5_chr4_8201__fullTreeAnc35_20240416.fa__fullTreeAnc35refChr2966:147574-147874()	['Bend5_chr4_8201__Mus_musculus_20240416.fa__chr4:111483377-111483677()']
Bend5_chr4_8201__fullTreeAnc141_20240416.fa__fullTreeAnc141refChr15215:618619-618800()	['Bend5_chr4_8201__Myotis_lucifugus_20240416.fa__GL429804.1:4428370-4428551()_RC']
Bend5_chr4_8201__fullTreeAnc163_20240416.fa__fullTreeAnc163refChr2470:2189406-2189636()	['Bend5_chr4_8201__Orcinus_orca_20240416.fa__KB316900.1:11395570-11395800()']
Epas1_chr17_10063__Balaenoptera_acutorostrata_20240416.fa__KI538186.1:18714634-18714952()_RC	['Epas1_chr17_10063__Balaenoptera_bonaerensis_20240416.fa__DF434241.1:13932-14250()_RC', 'Epas1_chr17_10063__fullTreeAnc154_20240416.fa__fullTreeAnc154refChr2955:747624-747942()_RC']
Epas1_chr17_10063__Camelus_bactrianus_20240416.fa__KN277514.1:10794561-10794874()	['Epas1_chr17_10063__Camelus_ferus_20240416.fa__KB017094.1:1917744-1918057()', 'Epas1_chr17_10063__fullTreeAnc151_20240416.fa__fullTreeAnc151refChr4774:3287495-3287808()_RC', 'Epas1_chr17_10063__fullTreeAnc152_20240416.fa__fullTreeAnc152refChr3157:1959570-1959883()']
Epas1_chr17_10063__Cavia_porcellus_20240416.fa__DS562873.1:30211600-30211883()	['Epas1_chr17_10063__Cavia_tschudii_20240416.fa__CavTsc_scaffold_1960:211664-211947()', 'Epas1_chr17_10063__fullTreeAnc21_20240416.fa__fullTreeAnc21refChr7057:1652814-1653097()', 'Epas1_chr17_10063__fullTreeAnc22_20240416.fa__fullTreeAnc22refChr14630:285604-285887()_RC']
Epas1_chr17_10063__Chlorocebus_sabaeus_20240416.fa__CM001955.2:60925431-60925685()_RC	['Epas1_chr17_10063__Erythrocebus_patas_20240416.fa__EryPat_scaffold_25724:26953-27207()_RC', 'Epas1_chr17_10063__fullTreeAnc94_20240416.fa__fullTreeAnc94refChr12049:918290-918544()']
Epas1_chr17_10063__fullTreeAnc104_20240416.fa__fullTreeAnc104refChr2317:1756443-1756696()	['Epas1_chr17_10063__fullTreeAnc105_20240416.fa__fullTreeAnc105refChr2792:4783048-4783301()', 'Epas1_chr17_10063__Homo_sapiens_20240416.fa__chr2:46284385-46284638()', 'Epas1_chr17_10063__Pan_paniscus_20240416.fa__CM003384.1:47319590-47319843()', 'Epas1_chr17_10063__Pan_troglodytes_20240416.fa__CM009239.2:46436496-46436749()']
Epas1_chr17_10063__fullTreeAnc10_20240416.fa__fullTreeAnc10refChr192057:1653-1878()	['Epas1_chr17_10063__fullTreeAnc11_20240416.fa__fullTreeAnc11refChr101568:7476-7701()_RC']
Epas1_chr17_10063__fullTreeAnc112_20240416.fa__fullTreeAnc112refChr15260:247470-247779()_RC	['Epas1_chr17_10063__fullTreeAnc114_20240416.fa__fullTreeAnc114refChr2325:60755-61064()_RC']
Epas1_chr17_10063__fullTreeAnc142_20240416.fa__fullTreeAnc142refChr14144:309846-310167()	['Epas1_chr17_10063__fullTreeAnc143_20240416.fa__fullTreeAnc143refChr5411:297020-297341()']
Epas1_chr17_10063__fullTreeAnc160_20240416.fa__fullTreeAnc160refChr3705:723138-723456()	['Epas1_chr17_10063__fullTreeAnc162_20240416.fa__fullTreeAnc162refChr522:4846270-4846588()', 'Epas1_chr17_10063__Phocoena_phocoena_20240416.fa__PhoPho_flattened_line_6258:42568-42886()']
Epas1_chr17_10063__fullTreeAnc163_20240416.fa__fullTreeAnc163refChr3023:1752198-1752516()	['Epas1_chr17_10063__fullTreeAnc164_20240416.fa__fullTreeAnc164refChr2558:5572111-5572429()_RC', 'Epas1_chr17_10063__Orcinus_orca_20240416.fa__KB316851.1:16972120-16972438()_RC']
Epas1_chr17_10063__fullTreeAnc165_20240416.fa__fullTreeAnc165refChr4781:936085-936403()_RC	['Epas1_chr17_10063__fullTreeAnc166_20240416.fa__fullTreeAnc166refChr6585:494948-495266()_RC']
Epas1_chr17_10063__Bos_mutus_20240416.fa__JH881119.1:262516-262831()	['Epas1_chr17_10063__fullTreeAnc170_20240416.fa__fullTreeAnc170refChr1448:446760-447075()_RC', 'Epas1_chr17_10063__fullTreeAnc171_20240416.fa__fullTreeAnc171refChr5388:646082-646397()_RC', 'Epas1_chr17_10063__fullTreeAnc172_20240416.fa__fullTreeAnc172refChr11460:438713-439028()_RC']
Epas1_chr17_10063__Capra_hircus_20240416.fa__CM004572.1:28307068-28307384()	['Epas1_chr17_10063__fullTreeAnc174_20240416.fa__fullTreeAnc174refChr3976:1374804-1375120()_RC']
Epas1_chr17_10063__fullTreeAnc176_20240416.fa__fullTreeAnc176refChr5812:1179223-1179539()	['Epas1_chr17_10063__fullTreeAnc178_20240416.fa__fullTreeAnc178refChr1635:105132-105448()_RC']
Epas1_chr17_10063__fullTreeAnc200_20240416.fa__fullTreeAnc200refChr3220:5315540-5315842()_RC	['Epas1_chr17_10063__fullTreeAnc201_20240416.fa__fullTreeAnc201refChr1458:1249903-1250205()_RC', 'Epas1_chr17_10063__Panthera_onca_20240416.fa__PanOnc_flattened_line_11809:108442-108744()_RC', 'Epas1_chr17_10063__Panthera_pardus_20240416.fa__KV860272.1:7469151-7469453()']
Epas1_chr17_10063__Felis_catus_20240416.fa__CM001380.2:65950193-65950495()	['Epas1_chr17_10063__fullTreeAnc202_20240416.fa__fullTreeAnc202refChr9473:226604-226906()_RC']
Epas1_chr17_10063__Acinonyx_jubatus_20240416.fa__LLWD01000471.1:7577982-7578284()_RC	['Epas1_chr17_10063__fullTreeAnc203_20240416.fa__fullTreeAnc203refChr3439:298921-299223()', 'Epas1_chr17_10063__fullTreeAnc204_20240416.fa__fullTreeAnc204refChr1534:4209019-4209321()_RC']
Epas1_chr17_10063__Canis_lupus_familiaris_20240416.fa__chr10:48536134-48536417()	['Epas1_chr17_10063__fullTreeAnc207_20240416.fa__fullTreeAnc207refChr5819:245330-245613()', 'Epas1_chr17_10063__fullTreeAnc208_20240416.fa__fullTreeAnc208refChr2725:3570169-3570452()']
Epas1_chr17_10063__fullTreeAnc216_20240416.fa__fullTreeAnc216refChr2828:595743-596048()	['Epas1_chr17_10063__fullTreeAnc217_20240416.fa__fullTreeAnc217refChr788:3457432-3457737()']
Epas1_chr17_10063__Equus_przewalskii_20240416.fa__KK950642.1:427-740()	['Epas1_chr17_10063__fullTreeAnc226_20240416.fa__fullTreeAnc226refChr2073:2771402-2771715()']
Epas1_chr17_10063__Ceratotherium_simum_20240416.fa__JH767784.1:7758507-7758823()_RC	['Epas1_chr17_10063__fullTreeAnc229_20240416.fa__fullTreeAnc229refChr11113:3995027-3995343()_RC', 'Epas1_chr17_10063__fullTreeAnc230_20240416.fa__fullTreeAnc230refChr8516:993147-993463()_RC']
Epas1_chr17_10063__fullTreeAnc20_20240416.fa__fullTreeAnc20refChr13408:268105-268388()	['Epas1_chr17_10063__fullTreeAnc23_20240416.fa__fullTreeAnc23refChr415:104763-105046()_RC']
Epas1_chr17_10063__fullTreeAnc47_20240416.fa__fullTreeAnc47refChr20651:473960-474271()	['Epas1_chr17_10063__fullTreeAnc49_20240416.fa__fullTreeAnc49refChr13051:514161-514472()_RC']
Epas1_chr17_10063__fullTreeAnc60_20240416.fa__fullTreeAnc60refChr7974:1224376-1224601()	['Epas1_chr17_10063__fullTreeAnc61_20240416.fa__fullTreeAnc61refChr8980:570641-570866()_RC']
Epas1_chr17_10063__Eulemur_fulvus_20240416.fa__EulFul_scaffold_3192:70175-70418()_RC	['Epas1_chr17_10063__fullTreeAnc75_20240416.fa__fullTreeAnc75refChr10533:802318-802561()_RC']
Epas1_chr17_10063__fullTreeAnc76_20240416.fa__fullTreeAnc76refChr8808:1206419-1206662()	['Epas1_chr17_10063__fullTreeAnc77_20240416.fa__fullTreeAnc77refChr3678:385276-385519()_RC']
Epas1_chr17_10063__fullTreeAnc89_20240416.fa__fullTreeAnc89refChr3569:4920028-4920282()	['Epas1_chr17_10063__fullTreeAnc90_20240416.fa__fullTreeAnc90refChr5108:4953508-4953762()_RC', 'Epas1_chr17_10063__fullTreeAnc93_20240416.fa__fullTreeAnc93refChr467:1076595-1076849()_RC', 'Epas1_chr17_10063__fullTreeAnc95_20240416.fa__fullTreeAnc95refChr8703:2213936-2214190()', 'Epas1_chr17_10063__fullTreeAnc96_20240416.fa__fullTreeAnc96refChr4931:994022-994276()_RC']
Epas1_chr17_10063__fullTreeAnc91_20240416.fa__fullTreeAnc91refChr4587:206415-206668()	['Epas1_chr17_10063__fullTreeAnc92_20240416.fa__fullTreeAnc92refChr1816:1018934-1019187()_RC', 'Epas1_chr17_10063__Macaca_fascicularis_20240416.fa__CM001931.1:64111128-64111381()_RC', 'Epas1_chr17_10063__Macaca_mulatta_20240416.fa__CM002978.2:47009512-47009765()']
Epas1_chr17_10063__fullTreeAnc97_20240416.fa__fullTreeAnc97refChr7776:875583-875837()_RC	['Epas1_chr17_10063__fullTreeAnc98_20240416.fa__fullTreeAnc98refChr10063:1376588-1376842()_RC', 'Epas1_chr17_10063__fullTreeAnc99_20240416.fa__fullTreeAnc99refChr9779:1375050-1375304()_RC', 'Epas1_chr17_10063__Pygathrix_nemaeus_20240416.fa__PygNem_scaffold_14845:36672-36926()', 'Epas1_chr17_10063__Rhinopithecus_roxellana_20240416.fa__KN295705.1:1771121-1771375()_RC']
Epas1_chr17_10063__fullTreeAnc175_20240416.fa__fullTreeAnc175refChr3118:845339-845655()_RC	['Epas1_chr17_10063__Hemitragus_hylocrius_20240416.fa__HemHyl_scaffold_6881:118457-118773()_RC']
Epas1_chr17_10063__fullTreeAnc141_20240416.fa__fullTreeAnc141refChr5767:417338-417659()_RC	['Epas1_chr17_10063__Myotis_brandtii_20240416.fa__KE162063.1:6369965-6370286()']
Epas1_chr17_10063__fullTreeAnc187_20240416.fa__fullTreeAnc187refChr3579:136060-136375()_RC	['Epas1_chr17_10063__Odocoileus_virginianus_20240416.fa__KZ100486.1:328447-328762()']
Epas1_chr17_10063__fullTreeAnc177_20240416.fa__fullTreeAnc177refChr7095:142757-143069()_RC	['Epas1_chr17_10063__Ovis_aries_20240416.fa__CM001584.2:77832507-77832819()_RC']
Epas1_chr17_10063__fullTreeAnc124_20240416.fa__fullTreeAnc124refChr6647:569618-569921()	['Epas1_chr17_10063__Rhinolophus_sinicus_20240416.fa__LVEH01000271.1:2933747-2934050()']
Epas1_chr17_10063__fullTreeAnc100_20240416.fa__fullTreeAnc100refChr10092:668993-669247()_RC	['Epas1_chr17_10063__Semnopithecus_entellus_20240416.fa__SemEnt_scaffold_2835:52837-53091()_RC']
Epas1_chr17_10063__fullTreeAnc113_20240416.fa__fullTreeAnc113refChr82078:83519-83822()	['Epas1_chr17_10063__Tupaia_chinensis_20240416.fa__KB321130.1:1066135-1066438()_RC']
Gata4_chr14_5729__Balaenoptera_acutorostrata_20240416.fa__KI538342.1:7743524-7743828()_RC	['Gata4_chr14_5729__Balaenoptera_bonaerensis_20240416.fa__DF503779.1:18960-19264()_RC', 'Gata4_chr14_5729__Eschrichtius_robustus_20240416.fa__EscRob_flattened_line_66:198734-199038()_RC', 'Gata4_chr14_5729__fullTreeAnc154_20240416.fa__fullTreeAnc154refChr6883:326879-327183()', 'Gata4_chr14_5729__fullTreeAnc155_20240416.fa__fullTreeAnc155refChr5873:166933-167237()_RC']
Gata4_chr14_5729__Bison_bison_20240416.fa__KN264858.1:3707220-3707524()_RC	['Gata4_chr14_5729__Bos_indicus_20240416.fa__CM003028.1:7558694-7558998()_RC', 'Gata4_chr14_5729__Bos_taurus_20240416.fa__CM000184.6:7580295-7580599()_RC', 'Gata4_chr14_5729__fullTreeAnc170_20240416.fa__fullTreeAnc170refChr11551:168939-169243()_RC', 'Gata4_chr14_5729__fullTreeAnc171_20240416.fa__fullTreeAnc171refChr5913:192791-193095()_RC', 'Gata4_chr14_5729__fullTreeAnc172_20240416.fa__fullTreeAnc172refChr5652:56107-56411()_RC']
Gata4_chr14_5729__Camelus_bactrianus_20240416.fa__KN277774.1:2659050-2659355()_RC	['Gata4_chr14_5729__Camelus_dromedarius_20240416.fa__KN271102.1:3226082-3226387()_RC', 'Gata4_chr14_5729__fullTreeAnc151_20240416.fa__fullTreeAnc151refChr4240:1947056-1947361()', 'Gata4_chr14_5729__fullTreeAnc152_20240416.fa__fullTreeAnc152refChr2209:249179-249484()']
Gata4_chr14_5729__Canis_lupus_20240416.fa__CanFam_VD_scaffold_2052:130013-130317()_RC	['Gata4_chr14_5729__Canis_lupus_familiaris_20240416.fa__chr25:26167070-26167374()_RC', 'Gata4_chr14_5729__fullTreeAnc207_20240416.fa__fullTreeAnc207refChr4390:2516383-2516687()', 'Gata4_chr14_5729__fullTreeAnc208_20240416.fa__fullTreeAnc208refChr2410:228209-228513()_RC']
Gata4_chr14_5729__Cavia_porcellus_20240416.fa__DS562856.1:65070064-65070363()_RC	['Gata4_chr14_5729__Cavia_tschudii_20240416.fa__CavTsc_scaffold_82:14667-14966()_RC', 'Gata4_chr14_5729__fullTreeAnc21_20240416.fa__fullTreeAnc21refChr5936:671476-671775()_RC']
Gata4_chr14_5729__Ceratotherium_simum_20240416.fa__JH767767.1:11310869-11311171()_RC	['Gata4_chr14_5729__Ceratotherium_simum_cottoni_20240416.fa__CerCot_scaffold_101163:7588-7890()', 'Gata4_chr14_5729__Diceros_bicornis_20240416.fa__DicBicMic_scaffold_1848:174937-175239()', 'Gata4_chr14_5729__fullTreeAnc229_20240416.fa__fullTreeAnc229refChr5572:149239-149541()_RC', 'Gata4_chr14_5729__fullTreeAnc230_20240416.fa__fullTreeAnc230refChr8890:148313-148615()_RC']
Gata4_chr14_5729__Cercopithecus_neglectus_20240416.fa__CertNeg_scaffold_33433:5741-6038()	['Gata4_chr14_5729__Chlorocebus_sabaeus_20240416.fa__CM001948.2:7389044-7389341()_RC', 'Gata4_chr14_5729__Colobus_angolensis_20240416.fa__KN980608.1:3907034-3907331()', 'Gata4_chr14_5729__fullTreeAnc101_20240416.fa__fullTreeAnc101refChr7206:59162-59459()', 'Gata4_chr14_5729__fullTreeAnc102_20240416.fa__fullTreeAnc102refChr1701:219130-219427()_RC', 'Gata4_chr14_5729__fullTreeAnc103_20240416.fa__fullTreeAnc103refChr4327:347419-347716()', 'Gata4_chr14_5729__fullTreeAnc94_20240416.fa__fullTreeAnc94refChr14237:133581-133878()', 'Gata4_chr14_5729__fullTreeAnc95_20240416.fa__fullTreeAnc95refChr14371:196038-196335()_RC', 'Gata4_chr14_5729__fullTreeAnc96_20240416.fa__fullTreeAnc96refChr3472:2876861-2877158()']
Gata4_chr14_5729__Choloepus_didactylus_20240416.fa__ChoDid_scaffold_105480:852-1155()_RC	['Gata4_chr14_5729__Choloepus_hoffmanni_20240416.fa__KN189716.1:698332-698635()', 'Gata4_chr14_5729__fullTreeAnc3_20240416.fa__fullTreeAnc3refChr27345:99058-99361()_RC']
Gata4_chr14_5729__Bubalus_bubalis_20240416.fa__KI418245.1:699937-700241()_RC	['Gata4_chr14_5729__Elaphurus_davidianus_20240416.fa__JRFZ01068602.1:169857-170161()_RC', 'Gata4_chr14_5729__fullTreeAnc173_20240416.fa__fullTreeAnc173refChr5116:125544-125848()_RC', 'Gata4_chr14_5729__fullTreeAnc182_20240416.fa__fullTreeAnc182refChr4969:138225-138529()', 'Gata4_chr14_5729__fullTreeAnc183_20240416.fa__fullTreeAnc183refChr4654:165596-165900()_RC', 'Gata4_chr14_5729__fullTreeAnc185_20240416.fa__fullTreeAnc185refChr11216:178747-179051()_RC', 'Gata4_chr14_5729__fullTreeAnc186_20240416.fa__fullTreeAnc186refChr6387:179848-180152()_RC', 'Gata4_chr14_5729__fullTreeAnc188_20240416.fa__fullTreeAnc188refChr7045:375337-375641()', 'Gata4_chr14_5729__fullTreeAnc189_20240416.fa__fullTreeAnc189refChr5332:179440-179744()_RC']
Gata4_chr14_5729__Equus_caballus_20240416.fa__CM000378.2:59830811-59831114()	['Gata4_chr14_5729__Equus_przewalskii_20240416.fa__KK951465.1:277241-277544()_RC', 'Gata4_chr14_5729__fullTreeAnc226_20240416.fa__fullTreeAnc226refChr918:587965-588268()']
Gata4_chr14_5729__Delphinapterus_leucas_20240416.fa__KZ290115.1:7453278-7453580()_RC	['Gata4_chr14_5729__Eubalaena_japonica_20240416.fa__EubJap_flattened_line_20470:16156-16458()_RC', 'Gata4_chr14_5729__fullTreeAnc156_20240416.fa__fullTreeAnc156refChr5629:30717-31019()_RC', 'Gata4_chr14_5729__fullTreeAnc159_20240416.fa__fullTreeAnc159refChr5423:312120-312422()', 'Gata4_chr14_5729__fullTreeAnc161_20240416.fa__fullTreeAnc161refChr4204:308313-308615()', 'Gata4_chr14_5729__fullTreeAnc162_20240416.fa__fullTreeAnc162refChr1493:339867-340169()', 'Gata4_chr14_5729__fullTreeAnc164_20240416.fa__fullTreeAnc164refChr309:2891462-2891764()_RC', 'Gata4_chr14_5729__fullTreeAnc165_20240416.fa__fullTreeAnc165refChr1999:340310-340612()_RC', 'Gata4_chr14_5729__fullTreeAnc166_20240416.fa__fullTreeAnc166refChr6600:443971-444273()', 'Gata4_chr14_5729__fullTreeAnc167_20240416.fa__fullTreeAnc167refChr14870:357801-358103()', 'Gata4_chr14_5729__fullTreeAnc168_20240416.fa__fullTreeAnc168refChr6918:68854-69156()_RC', 'Gata4_chr14_5729__Lipotes_vexillifer_20240416.fa__KE560203.1:611627-611929()_RC', 'Gata4_chr14_5729__Monodon_monoceros_20240416.fa__MonMon_M_scaffold_31774:35978-36280()']
Gata4_chr14_5729__fullTreeAnc0_20240416.fa__fullTreeAnc0refChr147674:7221-7524()	['Gata4_chr14_5729__fullTreeAnc1_20240416.fa__fullTreeAnc1refChr5590:52409-52712()_RC', 'Gata4_chr14_5729__fullTreeAnc5_20240416.fa__fullTreeAnc5refChr8984:46633-46936()']
Gata4_chr14_5729__fullTreeAnc104_20240416.fa__fullTreeAnc104refChr2777:2470160-2470458()	['Gata4_chr14_5729__fullTreeAnc106_20240416.fa__fullTreeAnc106refChr2103:386736-387034()', 'Gata4_chr14_5729__fullTreeAnc107_20240416.fa__fullTreeAnc107refChr3569:194703-195001()_RC', 'Gata4_chr14_5729__Pan_paniscus_20240416.fa__KQ412046.1:198205-198503()_RC', 'Gata4_chr14_5729__Pan_troglodytes_20240416.fa__CM009246.2:10703206-10703504()', 'Gata4_chr14_5729__Pongo_abelii_20240416.fa__CM009270.2:7953612-7953910()_RC']
Gata4_chr14_5729__fullTreeAnc128_20240416.fa__fullTreeAnc128refChr958:489297-489606()_RC	['Gata4_chr14_5729__fullTreeAnc129_20240416.fa__fullTreeAnc129refChr9783:180278-180587()_RC']
